a1,a2,growth
0.0,0.0,1.0
0.0,0.86,0.9143952828123175
0.0,1.73,0.8119090777218182
0.0,2.59,0.6828967534657915
0.0,3.46,0.5072609648798203
0.0,4.32,0.2958865016597557
0.0,5.19,0.17787740446624892
0.0,6.05,0.12345925767486236
0.0,6.91,0.09193381694767119
0.0,7.78,0.06976948566913332
0.0,8.64,0.0523351655325625
0.86,0.0,0.9143952828123175
0.86,0.86,0.8271125415170575
0.86,1.73,0.7184826965448415
0.86,2.59,0.5710151176807701
0.86,3.46,0.3358200130645966
0.86,4.32,0.14317389049748086
0.86,5.19,0.08225667274387699
0.86,6.05,0.04997570118332095
0.86,6.91,0.030515755936670837
0.86,7.78,0.019392702358063327
0.86,8.64,0.013042103301460946
1.73,0.0,0.8119090777218182
1.73,0.86,0.7184826965448415
1.73,1.73,0.5929822203062483
1.73,2.59,0.3770405231796961
1.73,3.46,0.1061199560679946
1.73,4.32,0.053948336395135764
1.73,5.19,0.029429759618252282
1.73,6.05,0.01717622306485472
1.73,6.91,0.010894436805084383
1.73,7.78,0.007437957560314472
1.73,8.64,0.00538397887839196
2.59,0.0,0.6828967534657915
2.59,0.86,0.5710151176807698
2.59,1.73,0.3770405231796961
2.59,2.59,0.09424631560481363
2.59,3.46,0.04421592719716666
2.59,4.32,0.022767227614578042
2.59,5.19,0.012954609880749906
2.59,6.05,0.00815046377438803
2.59,6.91,0.0055585480541760525
2.59,7.78,0.004029300423672273
2.59,8.64,0.003058416394167512
3.46,0.0,0.5072609648798198
3.46,0.86,0.3358200130645966
3.46,1.73,0.1061199560661647
3.46,2.59,0.04421592719573425
3.46,3.46,0.021139240030930588
3.46,4.32,0.011534186726481894
3.46,5.19,0.007087899570868567
3.46,6.05,0.004765751606048672
3.46,6.91,0.003422732842528775
3.46,7.78,0.002581176733060025
3.46,8.64,0.0020198934338100903
4.32,0.0,0.29588650165975555
4.32,0.86,0.14317389049755277
4.32,1.73,0.053948336394590124
4.32,2.59,0.02276722760609981
4.32,3.46,0.011534186730034262
4.32,4.32,0.006798226858542819
4.32,5.19,0.004455737668018665
4.32,6.05,0.0031457579290547744
4.32,6.91,0.0023432618003826552
4.32,7.78,0.0018166959550406463
4.32,8.64,0.001452391892706599
5.19,0.0,0.17787740446624523
5.19,0.86,0.08225667273756881
5.19,1.73,0.029429759631142364
5.19,2.59,0.012954609890565674
5.19,3.46,0.007087899569262624
5.19,4.32,0.004455737667313297
5.19,5.19,0.003064638187399051
5.19,6.05,0.0022421569872913896
5.19,6.91,0.0017154159948555205
5.19,7.78,0.0013574265989358656
5.19,8.64,0.0011027269426329622
6.05,0.0,0.12345925767479095
6.05,0.86,0.04997570117238164
6.05,1.73,0.017176223051593335
6.05,2.59,0.008150463775682062
6.05,3.46,0.004765751605673995
6.05,4.32,0.003145757929512445
6.05,5.19,0.0022421569873674807
6.05,6.05,0.001684545649589308
6.05,6.91,0.001315125139328504
6.05,7.78,0.0010571765791176644
6.05,8.64,0.000869613180103791
6.91,0.0,0.09193381694630684
6.91,0.86,0.03051575593812829
6.91,1.73,0.01089443680241798
6.91,2.59,0.005558548051743541
6.91,3.46,0.0034227328435277537
6.91,4.32,0.0023432618003972634
6.91,5.19,0.0017154159948019035
6.91,6.05,0.0013151251394235377
6.91,6.91,0.001042957973473922
6.91,7.78,0.0008488873310856269
6.91,8.64,0.0007053271368829321
7.78,0.0,0.0697694856670169
7.78,0.86,0.019392702347208607
7.78,1.73,0.007437957564359346
7.78,2.59,0.004029300424072314
7.78,3.46,0.002581176733042046
7.78,4.32,0.0018166959552148212
7.78,5.19,0.0013574265987854489
7.78,6.05,0.0010571765791401386
7.78,6.91,0.0008488873309838508
7.78,7.78,0.0006979010316460976
7.78,8.64,0.0005846725793143976
8.64,0.0,0.05233516553004427
8.64,0.86,0.01304210330273475
8.64,1.73,0.005383978876849427
8.64,2.59,0.0030584163937568756
8.64,3.46,0.002019893434102897
8.64,4.32,0.0014523918925608377
8.64,5.19,0.0011027269426939635
8.64,6.05,0.000869613180120165
8.64,6.91,0.0007053271368763505
8.64,7.78,0.0005846725793307717
8.64,8.64,0.0004931886201672439
