a1,a2,growth
0.0,0.0,1.0
0.0,0.15,0.8180679644152546
0.0,0.29,0.643110568074195
0.0,0.44,0.49385130380467246
0.0,0.59,0.3788871265415092
0.0,0.73,0.2949496713003446
0.0,0.88,0.2342883372328944
0.0,1.03,0.18990429717488946
0.0,1.17,0.15675750379825462
0.0,1.32,0.1314202995480208
0.0,1.46,0.11151193299596497
0.15,0.0,0.8180679644152546
0.15,0.15,0.6357326974443115
0.15,0.29,0.4665322506343656
0.15,0.44,0.33496137185346514
0.15,0.59,0.24432086507085762
0.15,0.73,0.18389709725688197
0.15,0.88,0.14286852427740465
0.15,1.03,0.11388135893791893
0.15,1.17,0.09213185370631748
0.15,1.32,0.074490675040577
0.15,1.46,0.0593268644829963
0.29,0.0,0.6431105680741943
0.29,0.15,0.4665322506343656
0.29,0.29,0.31970382184712376
0.29,0.44,0.2209797341211353
0.29,0.59,0.15930332628533306
0.29,0.73,0.1197723339128689
0.29,0.88,0.0925052590104635
0.29,1.03,0.07155081487788323
0.29,1.17,0.05415468309744494
0.29,1.32,0.03994176378017429
0.29,1.46,0.029126960606998098
0.44,0.0,0.4938513038046723
0.44,0.15,0.3349613718534648
0.44,0.29,0.22097973412113514
0.44,0.44,0.152150672941572
0.44,0.59,0.11033429123562503
0.44,0.73,0.08219642959096969
0.44,0.88,0.06050755882515799
0.44,1.03,0.04310337167121667
0.44,1.17,0.03011506959380023
0.44,1.32,0.021192118631177422
0.44,1.46,0.015293891605257874
0.59,0.0,0.37888712654150936
0.59,0.15,0.24432086507085796
0.59,0.29,0.1593033262853512
0.59,0.44,0.11033429123557718
0.59,0.59,0.07907430482169259
0.59,0.73,0.05564295208766308
0.59,0.88,0.03770751819671348
0.59,1.03,0.02529026918071294
0.59,1.17,0.017345382395504576
0.59,1.32,0.012352101872553192
0.59,1.46,0.009149189486115854
0.73,0.0,0.29494967130034444
0.73,0.15,0.18389709725688647
0.73,0.29,0.11977233391326057
0.73,0.44,0.08219642958976026
0.73,0.59,0.055642952105456236
0.73,0.73,0.036094574397086895
0.73,0.88,0.023283863534639085
0.73,1.03,0.015538108126569004
0.73,1.17,0.010877752861512472
0.73,1.32,0.00797547193184757
0.73,1.46,0.0060836785323203175
0.88,0.0,0.2342883372328949
0.88,0.15,0.14286852427751415
0.88,0.29,0.09250525901051149
0.88,0.44,0.06050755882358768
0.88,0.59,0.03770751820248197
0.88,0.73,0.023283863532581574
0.88,0.88,0.015002314047939226
0.88,1.03,0.0102493431384168
0.88,1.17,0.007392787640352351
0.88,1.32,0.005577221829150347
0.88,1.46,0.004361644158426208
1.03,0.0,0.1899042971748869
1.03,0.15,0.1138813589363629
1.03,0.29,0.07155081487531909
1.03,0.44,0.043103371670716616
1.03,0.59,0.02529026920000319
1.03,0.73,0.01553810812544754
1.03,0.88,0.010249343138803518
1.03,1.03,0.007215257634253267
1.03,1.17,0.005352191724578168
1.03,1.32,0.004135685598223664
1.03,1.46,0.0032994479722865547
1.17,0.0,0.15675750379811976
1.17,0.15,0.09213185370426077
1.17,0.29,0.05415468311365302
1.17,0.44,0.030115069565598798
1.17,0.59,0.017345382394426616
1.17,0.73,0.010877752864605725
1.17,0.88,0.007392787640677424
1.17,1.03,0.005352191726143978
1.17,1.17,0.004065206585067236
1.17,1.32,0.003202781402024523
1.17,1.46,0.0025960835504799194
1.32,0.0,0.13142029954793896
1.32,0.15,0.07449067503952343
1.32,0.29,0.03994176377696305
1.32,0.44,0.02119211863061894
1.32,0.59,0.01235210187205972
1.32,0.73,0.007975471932908993
1.32,0.88,0.005577221828837153
1.32,1.03,0.004135685597956543
1.32,1.17,0.0032027814022466965
1.32,1.32,0.0025631960245528014
1.32,1.46,0.002104365955984301
1.46,0.0,0.1115119329971972
1.46,0.15,0.059326864480396035
1.46,0.29,0.029126960600137686
1.46,0.44,0.015293891605945424
1.46,0.59,0.009149189486094987
1.46,0.73,0.0060836785307896634
1.46,0.88,0.004361644158485925
1.46,1.03,0.0032994479721571673
1.46,1.17,0.002596083551000358
1.46,1.32,0.0021043659558769062
1.46,1.46,0.0017457664021977486
