a1,a2,growth
0.0,0.0,1.0
0.0,0.15,0.8180679644152546
0.0,0.29,0.6431105680741943
0.0,0.44,0.4938513038046721
0.0,0.59,0.37888712654150986
0.0,0.73,0.2949496713003446
0.0,0.88,0.23428833723289474
0.0,1.03,0.18990429717488674
0.0,1.17,0.1567575037983156
0.0,1.32,0.1314202995485912
0.0,1.46,0.1115119329958218
0.09,0.0,0.9495557633133084
0.09,0.15,0.7660455530339799
0.09,0.29,0.5874195382283444
0.09,0.44,0.43398051317262815
0.09,0.59,0.3148841040665012
0.09,0.73,0.22573637899147384
0.09,0.88,0.00018555332330466158
0.09,1.03,0.00011111212709482531
0.09,1.17,8.061307475922038e-05
0.09,1.32,6.352461525848274e-05
0.09,1.46,5.24911397668359e-05
0.18,0.0,0.891301103158799
0.18,0.15,0.7027252113094902
0.18,0.29,0.5132743206143573
0.18,0.44,0.3377278671528996
0.18,0.59,5.4885408571892024e-05
0.18,0.73,3.373968676482282e-05
0.18,0.88,2.4441150824775038e-05
0.18,1.03,1.918852253105022e-05
0.18,1.17,1.5806309755116966e-05
0.18,1.32,1.3442390436421928e-05
0.18,1.46,1.1694351256213367e-05
0.28,0.0,0.8210423426348302
0.28,0.15,0.6176479226787798
0.28,0.29,7.323571343450363e-05
0.28,0.44,2.8194359246243106e-05
0.28,0.59,1.719421166753334e-05
0.28,0.73,1.2298885193178807e-05
0.28,0.88,9.557952295567049e-06
0.28,1.03,7.812598019043547e-06
0.28,1.17,6.605229449824099e-06
0.28,1.32,5.720395420088612e-06
0.28,1.46,5.043841698629855e-06
0.37,0.0,0.7279200437220438
0.37,0.15,6.438870007272086e-05
0.37,0.29,2.231348089375623e-05
0.37,0.44,1.2457322939983187e-05
0.37,0.59,8.453714189326643e-06
0.37,0.73,6.351710245858746e-06
0.37,0.88,5.0735334215590695e-06
0.37,1.03,4.219044136930363e-06
0.37,1.17,3.6089743888165113e-06
0.37,1.32,3.15199385437855e-06
0.37,1.46,2.796994789583272e-06
0.46,0.0,0.30247554626878304
0.46,0.15,2.329661217848253e-05
0.46,0.29,1.1315420335567642e-05
0.46,0.44,7.051983934450352e-06
0.46,0.59,5.021335983017736e-06
0.46,0.73,3.869684601251374e-06
0.46,0.88,3.138026218410219e-06
0.46,1.03,2.6352767224737917e-06
0.46,1.17,2.269655743713496e-06
0.46,1.32,1.9921933349064814e-06
0.46,1.46,1.7745789236985106e-06
0.55,0.0,3.121098399188274e-05
0.55,0.15,1.2471017669610702e-05
0.55,0.29,6.879822171402199e-06
0.55,0.44,4.534161015280768e-06
0.55,0.59,3.320696764937999e-06
0.55,0.73,2.600061053491408e-06
0.55,0.88,2.1292468123221993e-06
0.55,1.03,1.7998032085499826e-06
0.55,1.17,1.5572185177050967e-06
0.55,1.32,1.3714815298410736e-06
0.55,1.46,1.2248457728037253e-06
0.64,0.0,1.7239869151203027e-05
0.64,0.15,7.840647718066617e-06
0.64,0.29,4.626132324719168e-06
0.64,0.44,3.155572502077714e-06
0.64,0.59,2.3549522069867243e-06
0.64,0.73,1.8644903752592275e-06
0.64,0.88,1.5376546053489535e-06
0.64,1.03,1.305919905997636e-06
0.64,1.17,1.1337096556579346e-06
0.64,1.32,1.0009797035600605e-06
0.64,1.46,8.956745735554671e-07
0.74,0.0,1.105706475699877e-05
0.74,0.15,5.399522489976557e-06
0.74,0.29,3.3210635383216798e-06
0.74,0.44,2.319115257749773e-06
0.74,0.59,1.7544523467002456e-06
0.74,0.73,1.4006745797306366e-06
0.74,0.88,1.1613830010259318e-06
0.74,1.03,9.899832216759747e-07
0.74,1.17,8.616919161141822e-07
0.74,1.32,7.62294325721979e-07
0.74,1.46,6.831257592191755e-07
0.83,0.0,7.735566057255132e-06
0.83,0.15,3.947779442772987e-06
0.83,0.29,2.4973598347975842e-06
0.83,0.44,1.7738746897138028e-06
0.83,0.59,1.3559761102991767e-06
0.83,0.73,1.089661724844017e-06
0.83,0.88,9.074099810864783e-07
0.83,1.03,7.757946758023012e-07
0.83,1.17,6.767034683613709e-07
0.83,1.32,5.995991497508578e-07
0.83,1.46,5.379882777108208e-07
0.92,0.0,5.730713357768498e-06
0.92,0.15,3.0124539062081078e-06
0.92,0.29,1.944416245367864e-06
0.92,0.44,1.3990614013042406e-06
0.92,0.59,1.078273853420552e-06
0.92,0.73,8.711228915314206e-07
0.92,0.88,7.280157334261301e-07
0.92,1.03,6.239689466006573e-07
0.92,1.17,5.452484256596579e-07
0.92,1.32,4.837718292804993e-07
0.92,1.46,4.34513259185215e-07
