a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9143952828123169
0.0,1.73,0.8119090777218179
0.0,2.59,0.6828967534657918
0.0,3.46,0.5072609648798203
0.0,4.32,0.2958865016597557
0.0,5.19,0.17787740446624523
0.0,6.05,0.12345925767443745
0.0,6.91,0.09193381694876264
0.0,7.78,0.06976948568283071
0.0,8.64,0.052335165535191665
0.19,0.0,0.9491143638216609
0.19,0.86,0.8639771962133348
0.19,1.73,0.7594760781311504
0.19,2.59,0.6222088200795286
0.19,3.46,0.416849148455369
0.19,4.32,0.00238034422905069
0.19,5.19,0.0010273568685790478
0.19,6.05,0.0006461230995159921
0.19,6.91,0.0004628358944084893
0.19,7.78,0.00035556991015505334
0.19,8.64,0.0002854909743903962
0.38,0.0,0.8903312222988858
0.38,0.86,0.8040448657436018
0.38,1.73,0.694051032212196
0.38,2.59,0.5362160469889545
0.38,3.46,0.0006019787698841549
0.38,4.32,0.000305428423034489
0.38,5.19,0.00020143643290494243
0.38,6.05,0.00014845082505581415
0.38,6.91,0.0001164652302843852
0.38,7.78,9.512681558266283e-05
0.38,8.64,7.991469421245642e-05
0.58,0.0,0.8194095573130338
0.58,0.86,0.7281594669656327
0.58,1.73,0.6016967246678502
0.58,2.59,0.0004100173056627777
0.58,3.46,0.00018839445604612327
0.58,4.32,0.0001178105396636258
0.58,5.19,8.423087057248639e-05
0.58,6.05,6.488014618017298e-05
0.58,6.91,5.238502209388053e-05
0.58,7.78,4.3685615837697846e-05
0.58,8.64,3.729690455992498e-05
0.77,0.0,0.7253660607936244
0.77,0.86,0.6136797899247676
0.77,1.73,0.0003272580185437169
0.77,2.59,0.00015127456436516166
0.77,3.46,8.945587321078213e-05
0.77,4.32,6.11286378079546e-05
0.77,5.19,4.560368726059072e-05
0.77,6.05,3.600535204625999e-05
0.77,6.91,2.955068221665789e-05
0.77,7.78,2.4938307093430957e-05
0.77,8.64,2.1489477667692032e-05
0.96,0.0,0.30122474366287927
0.96,0.86,0.00028057602691166354
0.96,1.73,0.00013436823076355765
0.96,2.59,7.775549381388517e-05
0.96,3.46,5.1160333095181284e-05
0.96,4.32,3.684390398139425e-05
0.96,5.19,2.828244563997057e-05
0.96,6.05,2.2719683305599274e-05
0.96,6.91,1.8863947954491355e-05
0.96,7.78,1.6053878580427327e-05
0.96,8.64,1.3923847954891947e-05
1.15,0.0,0.00033951499491233553
1.15,0.86,0.00013410527155147158
1.15,1.73,7.363315045490254e-05
1.15,2.59,4.682703617502452e-05
1.15,3.46,3.266469211489998e-05
1.15,4.32,2.435737069152171e-05
1.15,5.19,1.9094753927928063e-05
1.15,6.05,1.5545682775413425e-05
1.15,6.91,1.3025389184533165e-05
1.15,7.78,1.1158463197481358e-05
1.15,8.64,9.727139240272595e-06
1.34,0.0,0.0001876722275204472
1.34,0.86,7.960348669356341e-05
1.34,1.73,4.652106959240511e-05
1.34,2.59,3.107326568787456e-05
1.34,3.46,2.2461237329844048e-05
1.34,4.32,1.7160074824855298e-05
1.34,5.19,1.3670530501691493e-05
1.34,6.05,1.1250369468982583e-05
1.34,6.91,9.497583245437499e-06
1.34,7.78,8.181130227955935e-06
1.34,8.64,7.16181445949044e-06
1.54,0.0,0.0001203650451828561
1.54,0.86,5.300152385840325e-05
1.54,1.73,3.204257688202637e-05
1.54,2.59,2.203091863241487e-05
1.54,3.46,1.6297861009735785e-05
1.54,4.32,1.266952426396299e-05
1.54,5.19,1.021988304178952e-05
1.54,6.05,8.485353180473807e-06
1.54,6.91,7.209079924748009e-06
1.54,7.78,6.239201725864308e-06
1.54,8.64,5.481691613564134e-06
1.73,0.0,8.420546926796522e-05
1.73,0.86,3.791529750973541e-05
1.73,1.73,2.340126347996724e-05
1.73,2.59,1.639053893221387e-05
1.73,3.46,1.2318125005526885e-05
1.73,4.32,9.698249816552177e-06
1.73,5.19,7.899821524072574e-06
1.73,6.05,6.6070778745683945e-06
1.73,6.91,5.643908614735088e-06
1.73,7.78,4.904727553462474e-06
1.73,8.64,4.32300844037867e-06
1.92,0.0,6.238507919380307e-05
1.92,0.86,2.850070693067468e-05
1.92,1.73,1.783244278770355e-05
1.92,2.59,1.2648464788553693e-05
1.92,3.46,9.612760802650338e-06
1.92,4.32,7.640371314376234e-06
1.92,5.19,6.271544531370691e-06
1.92,6.05,5.276942030600177e-06
1.92,6.91,4.528702836934271e-06
1.92,7.78,3.949793685722869e-06
1.92,8.64,3.491216944413867e-06
