a1,a2,growth
0.0,0.0,1.0
0.0,0.15,0.8180679644152546
0.0,0.29,0.6431105680741943
0.0,0.44,0.4938513038046728
0.0,0.59,0.378887126541509
0.0,0.73,0.2949496713003446
0.0,0.88,0.23428833723289458
0.0,1.03,0.18990429717488802
0.0,1.17,0.1567575037982167
0.0,1.32,0.13142029954810333
0.0,1.46,0.11151193299561278
0.19,0.0,0.9491143638216606
0.19,0.15,0.7655924887753774
0.19,0.29,0.5869586681712473
0.19,0.44,0.43354832512809677
0.19,0.59,0.3145555032153459
0.19,0.73,0.2256790697888829
0.19,0.88,0.0019003215617734313
0.19,1.03,0.0010793747163884647
0.19,1.17,0.0007539577642967287
0.19,1.32,0.0005759208955047565
0.19,1.46,0.00046325327017195117
0.38,0.0,0.8903312222988855
0.38,0.15,0.7016956107775144
0.38,0.29,0.5122010225313937
0.38,0.44,0.3369573865098222
0.38,0.59,0.0005737235635942205
0.38,0.73,0.00034618157302429553
0.38,0.88,0.00024655948131022115
0.38,1.03,0.0001906368805215242
0.38,1.17,0.00015484934892419147
0.38,1.32,0.00012998184774065758
0.38,1.46,0.00011169467947175453
0.58,0.0,0.8194095573130338
0.58,0.15,0.6158064660394451
0.58,0.29,0.0007754982293213694
0.58,0.44,0.0002988123218196813
0.58,0.59,0.00018028997526965313
0.58,0.73,0.00012760778931729952
0.58,0.88,9.819519521847217e-05
0.58,1.03,7.952162476296162e-05
0.58,1.17,6.66407421986082e-05
0.58,1.32,5.72265850753379e-05
0.58,1.46,5.004747804346405e-05
0.77,0.0,0.7253660607936244
0.77,0.15,0.0006859097787061593
0.77,0.29,0.0002388612638505252
0.77,0.44,0.00013244832458713903
0.77,0.59,8.920955051071065e-05
0.77,0.73,6.654290449629248e-05
0.77,0.88,5.278388013120202e-05
0.77,1.03,4.360120938611563e-05
0.77,1.17,3.7055764114697355e-05
0.77,1.32,3.2160497461214695e-05
0.77,1.46,2.8363545858490972e-05
0.96,0.0,0.3012249929987743
0.96,0.15,0.00025113972983266956
0.96,0.29,0.00012140416116403579
0.96,0.44,7.523724711760146e-05
0.96,0.59,5.327116903961942e-05
0.96,0.73,4.082795895218933e-05
0.96,0.88,3.29314793826409e-05
0.96,1.03,2.751127278959007e-05
0.96,1.17,2.357349156567436e-05
0.96,1.32,2.0588183336540336e-05
0.96,1.46,1.8249140662084178e-05
1.15,0.0,0.0003395149943105085
1.15,0.15,0.00013470014071580643
1.15,0.29,7.395515097488267e-05
1.15,0.44,4.85196486831409e-05
1.15,0.59,3.537571806970636e-05
1.15,0.73,2.7576617822149345e-05
1.15,0.88,2.248504701014482e-05
1.15,1.03,1.892482904451419e-05
1.15,1.17,1.6305074932582194e-05
1.15,1.32,1.4300610070426533e-05
1.15,1.46,1.2719218654295458e-05
1.34,0.0,0.0001876722271708128
1.34,0.15,8.477751618534951e-05
1.34,0.29,4.981319716822827e-05
1.34,0.44,3.385128756489861e-05
1.34,0.59,2.516944736358242e-05
1.34,0.73,1.9854266610397845e-05
1.34,0.88,1.6314159549058562e-05
1.34,1.03,1.3805356034253094e-05
1.34,1.17,1.1941870022161643e-05
1.34,1.32,1.0506298308201763e-05
1.34,1.46,9.367915064375837e-06
1.54,0.0,0.00012036504483354277
1.54,0.15,5.843494434983056e-05
1.54,0.29,3.581332990063349e-05
1.54,0.44,2.4929195521715888e-05
1.54,0.59,1.880026965879353e-05
1.54,0.73,1.496213056451057e-05
1.54,0.88,1.2367007846107836e-05
1.54,1.03,1.0508808169947032e-05
1.54,1.17,9.118438022826297e-06
1.54,1.32,8.041588473501644e-06
1.54,1.46,7.184213534364508e-06
1.73,0.0,8.420546902845442e-05
1.73,0.15,4.275852538340372e-05
1.73,0.29,2.6965229638849277e-05
1.73,0.44,1.9100692742481607e-05
1.73,0.59,1.4561131184912575e-05
1.73,0.73,1.1669255379329284e-05
1.73,0.88,9.690727487112996e-06
1.73,1.03,8.262255503608015e-06
1.73,1.17,7.187046513353026e-06
1.73,1.32,6.350630347213837e-06
1.73,1.46,5.682472398902405e-06
1.92,0.0,6.238507893037328e-05
1.92,0.15,3.2652153889487665e-05
1.92,0.29,2.1018127977499103e-05
1.92,0.44,1.508642902906211e-05
1.92,0.59,1.1599374087222925e-05
1.92,0.73,9.348230722555105e-06
1.92,0.88,7.793359567829556e-06
1.92,1.03,6.663076774397377e-06
1.92,1.17,5.808071991095457e-06
1.92,1.32,5.140488811229539e-06
1.92,1.46,4.605697783067289e-06
