a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9143952828123169
0.0,1.73,0.8119090777218179
0.0,2.59,0.6828967534657918
0.0,3.46,0.5072609648798201
0.0,4.32,0.2958865016597557
0.0,5.19,0.17787740446624523
0.0,6.05,0.12345925767443745
0.0,6.91,0.09193381694876264
0.0,7.78,0.06976948568283071
0.0,8.64,0.052335165535191665
0.15,0.0,0.818067964415255
0.15,0.86,0.7336794315228
0.15,1.73,0.6255685908433711
0.15,2.59,0.4739500590228816
0.15,3.46,0.2641720045875012
0.15,4.32,0.14306064580568986
0.15,5.19,0.09328752336527504
0.15,6.05,0.06375303434842793
0.15,6.91,0.0427472700661181
0.15,7.78,0.028400792686037728
0.15,8.64,0.019268932132661874
0.29,0.0,0.6431105680741943
0.29,0.86,0.556965322210651
0.29,1.73,0.4384536910820177
0.29,2.59,0.26560182608977917
0.29,3.46,0.1351013222201171
0.29,4.32,0.08195905828784122
0.29,5.19,0.051004369420453194
0.29,6.05,0.031168994210001164
0.29,6.91,0.019550902203484644
0.29,7.78,0.01294322174768642
0.29,8.64,0.009064371117849258
0.44,0.0,0.4938513038046718
0.44,0.86,0.40675429208362857
0.44,1.73,0.28243633479445135
0.44,2.59,0.14770493792591025
0.44,3.46,0.08249172129826746
0.44,4.32,0.04718846546935387
0.44,5.19,0.02677728729544308
0.44,6.05,0.01606708481988531
0.44,6.91,0.010407426441662834
0.44,7.78,0.007218088729468168
0.44,8.64,0.005286645803272462
0.59,0.0,0.3788871265415092
0.59,0.86,0.29360907571871836
0.59,1.73,0.1793345767528548
0.59,2.59,0.09442530734826103
0.59,3.46,0.05021277272486422
0.59,4.32,0.026382981954831134
0.59,5.19,0.014989277942074717
0.59,6.05,0.009398664653059488
0.59,6.91,0.006395215431553506
0.59,7.78,0.004629574784928004
0.59,8.64,0.0035111876162484917
0.73,0.0,0.2949496713003448
0.73,0.86,0.21405928259872253
0.73,1.73,0.12094353651322892
0.73,2.59,0.061392796763178756
0.73,3.46,0.029632215482282568
0.73,4.32,0.015584745094777436
0.73,5.19,0.00929250296676222
0.73,6.05,0.0061277552262872835
0.73,6.91,0.0043471211637693425
0.73,7.78,0.003251980571865492
0.73,8.64,0.002530740693040851
0.88,0.0,0.2342883372328949
0.88,0.86,0.15952172055466426
0.88,1.73,0.08490474069453283
0.88,2.59,0.038430140545098745
0.88,3.46,0.01813160916923037
0.88,4.32,0.010007148853036392
0.88,5.19,0.006287503756748575
0.88,6.05,0.0043244737985627885
0.88,6.91,0.003168294092910041
0.88,7.78,0.002429460585857899
0.88,8.64,0.0019274588365385467
1.03,0.0,0.18990429717488724
1.03,0.86,0.12187694944688963
1.03,1.73,0.05823913510288279
1.03,2.59,0.024203502581235974
1.03,3.46,0.011862170626196425
1.03,4.32,0.006920056305462912
1.03,5.19,0.004545303621467932
1.03,6.05,0.0032312336320873456
1.03,6.91,0.0024266100306918124
1.03,7.78,0.0018962683403126878
1.03,8.64,0.0015268977207577553
1.17,0.0,0.15675750379833808
1.17,0.86,0.09429345328632321
1.17,1.73,0.038727686320578276
1.17,2.59,0.01595425260414525
1.17,3.46,0.008278524534236331
1.17,4.32,0.005071781908101684
1.17,5.19,0.003451863288789451
1.17,6.05,0.0025180874459779174
1.17,6.91,0.0019278296220515622
1.17,7.78,0.0015289676662700018
1.17,8.64,0.0012456117743890561
1.32,0.0,0.13142029954747392
1.32,0.86,0.07189956637294381
1.32,1.73,0.025885611902799095
1.32,2.59,0.011108707885939205
1.32,3.46,0.006093425169392366
1.32,4.32,0.0038864889135635417
1.32,5.19,0.0027209245718925615
1.32,6.05,0.0020258193046072733
1.32,6.91,0.0015748724110838425
1.32,7.78,0.0012639276302299413
1.32,8.64,0.0010394489249504345
1.46,0.0,0.11151193299746656
1.46,0.86,0.053110483430795975
1.46,1.73,0.017879562018178547
1.46,2.59,0.008128403694791985
1.46,3.46,0.004677744632083652
1.46,4.32,0.003082333386100641
1.46,5.19,0.0022073138720795156
1.46,6.05,0.0016706191937151523
1.46,6.91,0.001314942927420272
1.46,7.78,0.001065588095350357
1.46,8.64,0.00088317386546916
