Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018995, 0.7773518457197734, 0.8013854185245304, 0.8239031288005849, 0.845037029659726, 0.8649002943581966, 0.8835902769695035, 0.9011911667369901, 0.9177762211624102, 0.9334096176262938, 0.9481479788847726]",0.0
0.25,2,"[0.2958865016597557, 0.37870008516431214, 0.4736888206028855, 0.5597494380137915, 0.631948984308037, 0.6925157612966316, 0.7440507666569853, 0.788469946239726, 0.8271125415170575, 0.8609299696444677, 0.8906199631142276]",0.0
0.25,3,"[0.1059893387401673, 0.11902574430906357, 0.14025901931838855, 0.17911488503293216, 0.263912083631569, 0.4186965606409788, 0.5535677784527642, 0.6500931372548225, 0.7229179918063512, 0.7800947377030756, 0.8259015183062994]",0.0
0.25,4,"[0.0523351655325625, 0.05330470500602717, 0.05755648484840126, 0.06642428610399122, 0.08225667274387699, 0.11189906374868969, 0.19698044595618944, 0.4427881332251442, 0.5929822203062483, 0.6863806052998881, 0.7516481706018995]",0.0
0.25,5,"[0.02435009386856014, 0.021453550156518522, 0.021173825093069403, 0.023380186211355337, 0.0288176487571144, 0.03966725011685127, 0.06073000035085435, 0.10739803131204775, 0.3837268919032017, 0.569732269924788, 0.66405594415787]",0.003176268775490737
0.25,6,"[0.01228229885037813, 0.009742869711401186, 0.009055154919225242, 0.00954965082668987, 0.01129845721727398, 0.01511391211210548, 0.023380148384074418, 0.042705242770916856, 0.09424631560481363, 0.3980561410466805, 0.5570472114145711]",0.0032271439311528875
0.25,7,"[0.0071162116821175654, 0.005291327181283067, 0.004752594739450294, 0.004860324047080629, 0.005546195905285442, 0.007093766310538576, 0.010447433663396727, 0.018680987583962787, 0.04320065394866904, 0.1504220125646401, 0.42576807012484996]",0.0023636169426672713
0.25,8,"[0.004608900448433703, 0.003270972226301338, 0.0028713945682361775, 0.0028759497362028878, 0.0031998035377601695, 0.003955567220032468, 0.0055585480541760525, 0.009377525431750936, 0.021139240030930588, 0.07428202343451315, 0.29588650165975555]",0.0017375058801975258
0.25,9,"[0.0032320539614063906, 0.002206529745479297, 0.0019029328957426346, 0.0018771416267183523, 0.0020515698321294895, 0.002476009103733058, 0.0033608969878329968, 0.005386336156051183, 0.011379882759253784, 0.041147680191866834, 0.21080241154204177]",0.0013549123346880384
0.25,10,"[0.0023991270810912735, 0.0015814233061598796, 0.0013435831938694933, 0.0013096957650825737, 0.0014126957099463082, 0.0016759270404629312, 0.0022190616365058776, 0.0034214372216930422, 0.006798226858542819, 0.02338389058531965, 0.16070504898746396]",0.0010894313160086998
0.5,1,"[0.8657030637112519, 0.8747384931134612, 0.8833234348889104, 0.8914703335093568, 0.8991908718365659, 0.9064960441427811, 0.9133962252346518, 0.9199012349703358, 0.9260203978043031, 0.9317625972279443, 0.9371363251309782]",0.0
0.5,2,"[0.6828967534657915, 0.7115986599654683, 0.7374846963205689, 0.760782881546371, 0.7816982909020195, 0.8004102153006607, 0.8170739787814837, 0.8318242698916702, 0.844778659137812, 0.8560407872247324, 0.8657030637112519]",0.0
0.5,3,"[0.39781784461028913, 0.46617913782119497, 0.5306862791582861, 0.5864640498444498, 0.6333098754222511, 0.67231868581029, 0.7046299432694937, 0.7311733162917031, 0.7526728212844269, 0.7696952542434332, 0.7826944321520781]",0.0
0.5,4,"[0.17787740446624892, 0.1980708823125846, 0.23452382069337935, 0.3038276569507124, 0.40416641780603857, 0.4932023411551523, 0.5591964357655809, 0.6073895821338986, 0.6423169711694985, 0.6668571230121602, 0.6828967534657915]",0.0
0.5,5,"[0.1059893387401673, 0.10392060017907219, 0.10398510416504, 0.10869193496897037, 0.12214932230363336, 0.15679585272773552, 0.27881147115883714, 0.42018792852301634, 0.4932023411551515, 0.5346559174916716, 0.5570472114145711]",0.0020687385610951153
0.5,6,"[0.06976948566913332, 0.058648777935567324, 0.05096784084905771, 0.048533697741697406, 0.051125986177729496, 0.059169210148927634, 0.07514632654617952, 0.10909288033227921, 0.21721705868310512, 0.3450464316108807, 0.39781784461028896]",0.02123578792743592
0.5,7,"[0.04501652002910243, 0.030548475160959963, 0.023769953808879075, 0.021726740466795517, 0.0226286650546992, 0.02636654686383576, 0.03417822240305876, 0.049563253558069544, 0.08294968532629228, 0.16599140004410842, 0.25619831481587985]",0.023289779562306916
0.5,8,"[0.028335175926450285, 0.01626219574171573, 0.012129888244531551, 0.010932968875249206, 0.011254111246218416, 0.012954609880749906, 0.01666854130673265, 0.024399603091797086, 0.04257059113726524, 0.09278959743122626, 0.17787740446624523]",0.01740220705120108
0.5,9,"[0.018215207750991013, 0.00949470541201869, 0.007003912589553601, 0.0062780303904893696, 0.006394657232452158, 0.007239393252775214, 0.009114215156286135, 0.013042136423154282, 0.022641368683487456, 0.05494147726171985, 0.13404410116160884]",0.011937177360501643
0.5,10,"[0.01228229885037813, 0.00606782598477512, 0.0044657537506989165, 0.003989731540751519, 0.004029300423672273, 0.004496329386368184, 0.005543532335564478, 0.007711863378396475, 0.012954609890565674, 0.032171931937555916, 0.10598933874046365]",0.00829256730962661
1.0,1,"[0.9143952828123175, 0.9156123088459569, 0.9165589706510363, 0.9172352048909884, 0.9176409646653954, 0.9177762211624102, 0.917640964665395, 0.9172352048909888, 0.916558970651036, 0.9156123088459569, 0.9143952828123175]",-0.003380938350092677
1.0,2,"[0.8119090777218182, 0.8173850405852228, 0.8216419998714716, 0.8246815598957656, 0.8265048512043964, 0.8271125415170575, 0.8265048512043964, 0.8246815598957656, 0.8216419998714719, 0.8173850405852224, 0.8119090777218182]",-0.015203463795239291
1.0,3,"[0.6828967534657915, 0.6973257700801461, 0.7085347601626703, 0.716529987612758, 0.7213217253598451, 0.7229179918063512, 0.7213217253598451, 0.7165299876127577, 0.7085347601626699, 0.6973257700801464, 0.6828967534657915]",-0.040021238340559706
1.0,4,"[0.5072609648798203, 0.5372548454286858, 0.5614070933802326, 0.5789078111815139, 0.5894602265664877, 0.5929822203062483, 0.589460226566488, 0.5789078111815139, 0.5614070933802326, 0.5372548454286865, 0.5072609648798198]",-0.08572125542642794
1.0,5,"[0.2958865016597557, 0.31379565077162863, 0.3358200130645966, 0.3590825224337974, 0.3770405231796961, 0.3837268919032017, 0.3770405231796961, 0.35908252243379774, 0.3358200130645966, 0.31379565077162896, 0.29588650165975555]",-0.08784039024344598
1.0,6,"[0.17787740446624892, 0.15947221204327539, 0.1345166172034402, 0.11169356502527186, 0.09836425514346164, 0.09424631560481363, 0.09836425514504077, 0.11169356502561285, 0.13451661720345623, 0.1594722120432667, 0.17787740446624523]",0.0836310888614316
1.0,7,"[0.12345925767486236, 0.09492927765906774, 0.06797659558890014, 0.052347939151344315, 0.045229941579831186, 0.04320065394866904, 0.04522994157646969, 0.05234793916044493, 0.06797659558917336, 0.09492927765606649, 0.12345925767479095]",0.08025860372612191
1.0,8,"[0.09193381694767119, 0.05732467532749831, 0.03503786773120995, 0.02585053595791273, 0.02215296108745861, 0.021139240030930588, 0.02215296106932851, 0.025850535968279596, 0.035037867716937704, 0.05732467532599142, 0.09193381694630684]",0.07079457691537624
1.0,9,"[0.06976948566913332, 0.0330564753662171, 0.018714099610894413, 0.01380101756732557, 0.01189732086537532, 0.011379882759253784, 0.01189732086534819, 0.013801017572671862, 0.018714099607340277, 0.03305647538583001, 0.0697694856670169]",0.05838960290776312
1.0,10,"[0.0523351655325625, 0.019392702358063327, 0.010894436805084383, 0.00815046377438803, 0.007087899570868567, 0.006798226858542819, 0.007087899569262624, 0.008150463775682062, 0.01089443680241798, 0.019392702347208607, 0.05233516553004427]",0.04553693867150145
2.0,1,"[0.9371363251309782, 0.9317625972279443, 0.9260203978043029, 0.9199012349703362, 0.9133962252346515, 0.9064960441427811, 0.8991908718365659, 0.8914703335093568, 0.8833234348889107, 0.8747384931134612, 0.8657030637112519]",0.0
2.0,2,"[0.8657030637112519, 0.8560407872247324, 0.844778659137812, 0.83182426989167, 0.8170739787814837, 0.8004102153006607, 0.7816982909020191, 0.760782881546371, 0.7374846963205686, 0.7115986599654683, 0.6828967534657915]",0.0
2.0,3,"[0.7826944321520781, 0.7696952542434325, 0.7526728212844269, 0.7311733162917031, 0.704629943269494, 0.67231868581029, 0.6333098754222514, 0.5864640498444498, 0.5306862791582859, 0.46617913782119463, 0.39781784461028896]",0.0
2.0,4,"[0.6828967534657915, 0.6668571230121598, 0.6423169711694985, 0.6073895821338986, 0.5591964357655813, 0.4932023411551515, 0.40416641780603874, 0.3038276569507116, 0.23452382069337901, 0.19807088231258604, 0.17787740446624523]",0.0
