Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8580851533677942, 0.8720540957112698, 0.8852239653056059, 0.8976764554569775, 0.9094786587892828, 0.9206864854569663, 0.9313471194290168, 0.9415008245403016, 0.9511822991888437, 0.9604217103919894, 0.9692454953679778]",0.0
0.25,2,"[0.3024755535544949, 0.6518370856682274, 0.7127273073471172, 0.7577999583693046, 0.7945218688438528, 0.8257748038415965, 0.8530352884375477, 0.8771803980540422, 0.8987819649689889, 0.9182377905072537, 0.9358383002009716]",0.0
0.25,3,"[1.362002859909818e-05, 3.8038087435752374e-06, 1.338585908691222e-06, 1.4224055697343163e-06, 0.5958476637212362, 0.6960874076177577, 0.757488134585147, 0.8039045407150378, 0.8414026396581296, 0.8726539563541096, 0.8991215117331617]",1.2281442690406959e-05
0.25,4,"[5.730713358250089e-06, 5.614048024814043e-07, 3.282322939642031e-07, 3.1658441559011824e-07, 3.834863408961289e-07, 5.987815420777704e-07, 0.6151465728625427, 0.7144544150069754, 0.7765480943009481, 0.8224040726392048, 0.8580851533677942]",5.4141289426599705e-06
0.25,5,"[3.168898324074857e-06, 2.1388464712454487e-07, 1.3596097443479701e-07, 1.2547583831216494e-07, 1.397757810650546e-07, 1.858454353675109e-07, 3.177760365510359e-07, 0.5790474945857141, 0.6987792859668794, 0.7652273011523593, 0.8110263763348866]",3.0434224857626923e-06
0.25,6,"[2.013099875286857e-06, 1.0868247273073712e-07, 6.980591250388207e-08, 6.293811406397639e-08, 6.751206285044915e-08, 8.409754959378309e-08, 1.2588696742612783e-07, 2.559336216207881e-07, 0.5894306411516211, 0.6962269682960812, 0.7546187523194637]",1.9501617612228807e-06
0.25,7,"[1.3924533855545093e-06, 6.340849769988683e-08, 4.0660697030253445e-08, 3.613830021404535e-08, 3.7940311714721614e-08, 4.566349792709287e-08, 6.418383781726366e-08, 1.135362788081314e-07, 2.9336076475561654e-07, 0.5989709125652806, 0.6802427247605948]",1.3563150853404639e-06
0.25,8,"[1.0205122199354096e-06, 4.0347431514667865e-08, 2.5776237485523e-08, 2.2687989269027432e-08, 2.3490804260796315e-08, 2.7678735484662995e-08, 3.752031749063125e-08, 6.173774678515015e-08, 1.3734858489853093e-07, 4.378924277798685e-07, 0.30247554627995304]",9.978242306663822e-07
0.25,9,"[7.79995116007344e-07, 2.7294350030826062e-08, 1.7371199508307586e-08, 1.5183140586440524e-08, 1.5568338161676397e-08, 1.8081322537000232e-08, 2.3940560912141906e-08, 3.771550482491016e-08, 7.697376451721571e-08, 2.223156684916855e-07, 4.1550331956654175e-05]",7.648119754209035e-07
0.25,10,"[6.15496835326073e-07, 1.9334096608476842e-08, 1.2263279698058963e-08, 1.0661920936909323e-08, 1.0854115028333007e-08, 1.247533568794602e-08, 1.6247637820175373e-08, 2.486487963543132e-08, 4.8131688967285093e-08, 1.305462483555983e-07, 2.6377352524959902e-05]",6.048349143891637e-07
0.5,1,"[0.921595030501554, 0.9266241102578902, 0.9314338401257397, 0.9360316948279722, 0.9404245068667304, 0.9446185400916497, 0.9486195528780033, 0.9524328526296071, 0.9560633429935297, 0.9595155649160997, 0.9627937324657424]",0.0
0.5,2,"[0.8210423426348302, 0.8362520802237933, 0.8499839026370092, 0.862415070991819, 0.8736816982430523, 0.883890832029257, 0.8931283306174548, 0.90146419175339, 0.9089562703846544, 0.915652938865657, 0.921595030501554]",0.0
0.5,3,"[0.6611296452577021, 0.7083477831936492, 0.743674280432362, 0.7720041652378902, 0.7954475367313343, 0.8151410261950529, 0.831777616279584, 0.8458146642695503, 0.8575709132919349, 0.8672772046881521, 0.8751051967410632]",0.0
0.5,4,"[3.121098399236433e-05, 4.228896377006313e-06, 0.00038872749134664854, 0.6385067096679846, 0.6942023157605662, 0.7325535079963291, 0.761250606496685, 0.783243450008351, 0.8000213613072347, 0.8124439582988314, 0.8210423426348302]",2.6982087615358016e-05
0.5,5,"[1.362002859909818e-05, 8.217428160993155e-07, 5.47392602093758e-07, 5.611601372247899e-07, 7.175437018510685e-07, 0.6163570911099557, 0.6734323608381715, 0.7090487323228278, 0.7325535079963291, 0.747250435521586, 0.7546187523194637]",1.3072635997004423e-05
0.5,6,"[7.735566057415662e-06, 3.559755326605269e-07, 2.339390732607348e-07, 2.1971488735588266e-07, 2.524723014645318e-07, 3.4978035615112e-07, 0.5241897397613212, 0.6087089314785941, 0.645001532180061, 0.6609511803472626, 0.6611296452577021]",7.515851170059779e-06
0.5,7,"[5.0122921583445535e-06, 1.915748564821721e-07, 1.2367634360122825e-07, 1.1145444742002954e-07, 1.199315184302813e-07, 1.4985456191562174e-07, 2.170777376612157e-07, 3.40180869476588e-07, 5.24647437166613e-07, 9.96152086511554e-07, 5.7536354316477883e-05]",4.900837710924524e-06
0.5,8,"[3.5192847937642674e-06, 1.1588064693952487e-07, 7.381799945889084e-08, 6.497387237158346e-08, 6.752325452223599e-08, 7.997632854836765e-08, 1.0709032983782065e-07, 1.5683663734636056e-07, 2.405113778220564e-07, 4.55479978258895e-07, 3.1210983990598496e-05]",3.454310921392684e-06
0.5,9,"[2.609478316273339e-06, 7.568613745084567e-08, 4.774030504645704e-08, 4.138576428060871e-08, 4.2098315486466866e-08, 4.833845469018224e-08, 6.196604985838668e-08, 8.671445340216568e-08, 1.304051522555272e-07, 2.488383028520502e-07, 1.9646192274825684e-05]",2.5680925519927305e-06
0.5,10,"[2.013099875286857e-06, 5.224247812952433e-08, 3.270722664360113e-08, 2.8053384952984202e-08, 2.8125926063551187e-08, 3.1650133857291855e-08, 3.949345512218635e-08, 5.379269972999517e-08, 7.997632854836765e-08, 1.5330552933000438e-07, 1.3620028598777121e-05]",1.9850464903338728e-06
1.0,1,"[0.9495557633133084, 0.9501418702539098, 0.9505972994853571, 0.9509223758173181, 0.9511173298012244, 0.9511822991888437, 0.9511173298012244, 0.9509223758173181, 0.9505972994853571, 0.9501418702539098, 0.9495557633133084]",-0.0016265358755352954
1.0,2,"[0.891301103158799, 0.8940094075326305, 0.8961039418175833, 0.8975937838541336, 0.898485224946298, 0.8987819649689889, 0.898485224946298, 0.8975937838541334, 0.8961039418175833, 0.8940094075326308, 0.891301103158799]",-0.0074808618101899205
1.0,3,"[0.8210423426348302, 0.828521448357527, 0.8342191465970997, 0.8382290105050062, 0.8406120206117418, 0.8414026396581296, 0.8406120206117423, 0.8382290105050069, 0.8342191465971001, 0.828521448357527, 0.8210423426348302]",-0.020360297023299334
1.0,4,"[0.7279200437220438, 0.7466483663266738, 0.7601889484151629, 0.7694090016745855, 0.7747818431068391, 0.7765480943009481, 0.7747818431068384, 0.7694090016745858, 0.7601889484151629, 0.7466483663266734, 0.7279200437220438]",-0.04862805057890429
1.0,5,"[0.3024755535544949, 0.6206573609174779, 0.6599831192576819, 0.6826286607746133, 0.6948751520119621, 0.6987792859668794, 0.6948751520119621, 0.6826286607746139, 0.6599831192576817, 0.6206573609174764, 0.30247554627995304]",-0.39630373241238454
1.0,6,"[3.121098399236433e-05, 1.1351547743979988e-06, 7.644478273452596e-07, 0.5268993063240802, 0.577580601542251, 0.5894306411516211, 0.577580601542252, 0.5268993063240798, 7.644478273452596e-07, 1.1351547742374687e-06, 3.1210983990598496e-05]",-0.5893994301676287
1.0,7,"[1.7239869149918786e-05, 4.947495793975012e-07, 3.183148165727853e-07, 2.834790906968431e-07, 2.866917145270151e-07, 2.9336076475561654e-07, 2.8669171468754517e-07, 2.834790906968431e-07, 3.1831481673331533e-07, 4.947495792369712e-07, 1.7239869149597727e-05]",1.6956390058900884e-05
1.0,8,"[1.105706475699877e-05, 2.682208853073049e-07, 1.666371503137885e-07, 1.4150019026452036e-07, 1.3674618136966037e-07, 1.3734858489853093e-07, 1.3674618136966037e-07, 1.4150019026452036e-07, 1.666371503137885e-07, 2.682208853073049e-07, 1.105706475699877e-05]",1.092031857562911e-05
1.0,9,"[7.735566057415662e-06, 1.6373679494721373e-07, 9.963527676648952e-08, 8.241356410215521e-08, 7.759480124773458e-08, 7.697376451721571e-08, 7.759480124773458e-08, 8.241356410215521e-08, 9.963527676648952e-08, 1.6373679494721373e-07, 7.735566057415662e-06]",7.658592292898446e-06
1.0,10,"[5.730713358250089e-06, 1.0793244787731948e-07, 6.479140864712462e-08, 5.273116925166134e-08, 4.887844944263449e-08, 4.8131688967285093e-08, 4.887844944263449e-08, 5.273116941219137e-08, 6.479140864712462e-08, 1.0793244787731948e-07, 5.7307133579290275e-06]",5.682581668961743e-06
2.0,1,"[0.9627937324657424, 0.9595155649160997, 0.9560633429935297, 0.9524328526296068, 0.9486195528780036, 0.9446185400916497, 0.9404245068667304, 0.9360316948279722, 0.9314338401257397, 0.9266241102578905, 0.921595030501554]",0.0
2.0,2,"[0.921595030501554, 0.9156529388656574, 0.9089562703846541, 0.9014641917533903, 0.8931283306174544, 0.883890832029257, 0.873681698243052, 0.8624150709918194, 0.8499839026370095, 0.8362520802237936, 0.8210423426348302]",0.0
2.0,3,"[0.8751051967410632, 0.8672772046881524, 0.8575709132919349, 0.8458146642695503, 0.8317776162795837, 0.8151410261950529, 0.7954475367313343, 0.7720041652378902, 0.743674280432362, 0.7083477831936492, 0.6611296452577021]",0.0
2.0,4,"[0.8210423426348302, 0.8124439582988318, 0.8000213613072343, 0.783243450008351, 0.7612506064966853, 0.7325535079963291, 0.6942023157605659, 0.6385067096679841, 0.00038872747948909817, 4.2288963781300234e-06, 3.1210983990598496e-05]",2.6982087612468472e-05
2.0,5,"[0.7546187523194637, 0.7472504355215867, 0.7325535079963291, 0.7090487323228275, 0.673432360838172, 0.6163570911099554, 7.175437018510685e-07, 5.611601372247899e-07, 5.47392602093758e-07, 8.217428159387855e-07, 1.3620028598777121e-05]",1.3072635996683364e-05
2.0,6,"[0.6611296452577021, 0.6609511803472636, 0.6450015321800618, 0.6087089314785944, 0.5241897397613223, 3.4978035615112e-07, 2.524723014645318e-07, 2.1971488735588266e-07, 2.339390732607348e-07, 3.559755328210569e-07, 7.735566057415662e-06]",7.515851170059779e-06
2.0,7,"[5.753635429593004e-05, 9.961520860299641e-07, 5.24647437166613e-07, 3.40180869316058e-07, 2.1707773782174574e-07, 1.4985456191562174e-07, 1.199315184302813e-07, 1.1145444742002954e-07, 1.2367634360122825e-07, 1.915748564821721e-07, 5.012292158665614e-06]",4.900837711245584e-06
2.0,8,"[3.121098399236433e-05, 4.55479978258895e-07, 2.405113778220564e-07, 1.5683663734636056e-07, 1.0709032983782065e-07, 7.997632854836765e-08, 6.752325452223599e-08, 6.497387237158346e-08, 7.381799945889084e-08, 1.1588064693952487e-07, 3.519284793603737e-06]",3.4543109212321533e-06
2.0,9,"[1.9646192274344095e-05, 2.488383028520502e-07, 1.304051522555272e-07, 8.671445340216568e-08, 6.196604985838668e-08, 4.833845469018224e-08, 4.2098315486466866e-08, 4.138576428060871e-08, 4.774030504645704e-08, 7.568613745084567e-08, 2.609478316273339e-06]",2.5680925519927305e-06
2.0,10,"[1.362002859909818e-05, 1.5330552933000438e-07, 7.997632854836765e-08, 5.379269972999517e-08, 3.949345512218635e-08, 3.1650133857291855e-08, 2.8125926063551187e-08, 2.8053384952984202e-08, 3.270722664360113e-08, 5.224247812952433e-08, 2.013099875126327e-06]",1.9850464901733427e-06
4.0,1,"[0.9692454953679778, 0.9604217103919894, 0.9511822991888437, 0.9415008245403018, 0.9313471194290169, 0.9206864854569663, 0.9094786587892831, 0.8976764554569768, 0.8852239653056059, 0.8720540957112695, 0.8580851533677942]",0.0
4.0,2,"[0.9358383002009716, 0.9182377905072537, 0.8987819649689889, 0.8771803980540422, 0.8530352884375477, 0.8257748038415965, 0.7945218688438531, 0.7577999583693046, 0.7127273073471179, 0.6518370856682267, 0.30247554627995304]",0.0
4.0,3,"[0.8991215117331617, 0.8726539563541093, 0.8414026396581296, 0.8039045407150378, 0.757488134585147, 0.6960874076177577, 0.5958476637212378, 1.4224055695737862e-06, 1.338585908370162e-06, 3.8038087435752374e-06, 1.3620028598777121e-05]",1.2281442690406959e-05
4.0,4,"[0.8580851533677942, 0.8224040726392051, 0.7765480943009481, 0.7144544150069757, 0.6151465728625434, 5.987815419172404e-07, 3.834863408961289e-07, 3.1658441559011824e-07, 3.282322939642031e-07, 5.614048026419343e-07, 5.7307133579290275e-06]",5.4141289423389095e-06
