Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8568053251045692, 0.8709062952609727, 0.8841997893541953, 0.8967682627285086, 0.9086794429482977, 0.9199897755726544, 0.9307469010081196, 0.940991476161434, 0.9507585411466745, 0.960078562710862, 0.9689782432135391]",0.0
0.25,2,"[0.30122498643626366, 0.6484675001280351, 0.7099956979042862, 0.7555338989349408, 0.7926276185189581, 0.8241904057776328, 0.8517152678959747, 0.8760890958368635, 0.8978901207171079, 0.9175205981122384, 0.9352742174487964]",0.0
0.25,3,"[0.00014826892760615718, 6.379176759269158e-05, 3.871546751344954e-05, 4.429947131900957e-05, 0.591527495267973, 0.6931104604307898, 0.7552012385799689, 0.8021034982415616, 0.8399735498753079, 0.8715195391607502, 0.8982237027223362]",0.00010955346009270764
0.25,4,"[6.238507893069436e-05, 1.5069971420216019e-05, 1.0640040515444528e-05, 1.060935793313328e-05, 1.2985946416605997e-05, 2.0264760576880446e-05, 0.6109305308225923, 0.7116595155484873, 0.7744611907515743, 0.8207879517047217, 0.8568053251045692]",5.177572099756108e-05
0.25,5,"[3.4510405760862545e-05, 6.455385111263151e-06, 4.544147713219175e-06, 4.287684741752455e-06, 4.815822844285043e-06, 6.414783346892144e-06, 1.0919734362881138e-05, 0.5738787594130859, 0.6957731668771174, 0.7630222379108962, 0.8092968317411096]",3.022272101911009e-05
0.25,6,"[2.1934691917451232e-05, 3.444198119413815e-06, 2.3705898400207923e-06, 2.174620283060196e-06, 2.348638523680843e-06, 2.9315711353995586e-06, 4.379415078124827e-06, 8.824477520785004e-06, 0.5844630231895267, 0.693214524721381, 0.7523337700277294]",1.9760071634391036e-05
0.25,7,"[1.5179848273418811e-05, 2.0634700825789203e-06, 1.3952142910564243e-06, 1.2579952710651739e-06, 1.3284738910620582e-06, 1.6020107153209479e-06, 2.249236790650802e-06, 3.9565697670985435e-06, 1.0079710679804591e-05, 0.5943821019359479, 0.6771997885269525]",1.3921853002353638e-05
0.25,8,"[1.1130242470090196e-05, 1.3353731135755129e-06, 8.910758681495238e-07, 7.940955592684101e-07, 8.264198551812652e-07, 9.755112512555832e-07, 1.321452043835915e-06, 2.165771114848498e-06, 4.770424458323911e-06, 1.4980876098810032e-05, 0.301224977538674]",1.0336146910821786e-05
0.25,9,"[8.510484552312357e-06, 9.141764170155713e-07, 6.039153038509919e-07, 5.336421468758477e-07, 5.496837657588044e-07, 6.394742868407218e-07, 8.463067415878757e-07, 1.329174769327113e-06, 2.6925884238482708e-06, 7.681913169063945e-06, 0.0004515950234237393]",7.976842405436509e-06
0.25,10,"[6.718034825312799e-06, 6.533895603226895e-07, 4.282379486555656e-07, 3.759755005908708e-07, 3.843311073599882e-07, 4.4241523940566245e-07, 5.760102118801813e-07, 8.793111609993207e-07, 1.6919881127766646e-06, 4.541661468009137e-06, 0.000287035335256031]",6.342059324721928e-06
0.5,1,"[0.9209024042671877, 0.9259781187638847, 0.9308321769661841, 0.9354721086729338, 0.9399047981929166, 0.9441365582807583, 0.9481731936477608, 0.9520200557651354, 0.9556820903493449, 0.9591638786615649, 0.9624696735492371]",0.0
0.5,2,"[0.8194095573130338, 0.8347662996686763, 0.8486307619801285, 0.8611814950993821, 0.8725556637527291, 0.8828611859575766, 0.8921846518240154, 0.9005966847344565, 0.908155683559763, 0.914910501553723, 0.9209024042671877]",0.0
0.5,3,"[0.6578884908176729, 0.7055718647367438, 0.7412582688143855, 0.7698784226501174, 0.7935608871079943, 0.8134530364106527, 0.8302547209838856, 0.8444280184589175, 0.8562951155029241, 0.8660894996973866, 0.8739849611610985]",0.0
0.5,4,"[0.0003395149943196587, 9.332486491227124e-05, 0.0002859740483624262, 0.634791621106767, 0.6911827717419683, 0.7299802163671406, 0.7589977854673314, 0.7812279378623657, 0.7981808056403481, 0.8107282426951872, 0.8194095573130338]",0.00024619012940738745
0.5,5,"[0.00014826892760615718, 2.4625536380987703e-05, 1.8188781620680657e-05, 1.8962694387101705e-05, 2.3774313485707953e-05, 0.6120955099776927, 0.6700788866685946, 0.7061771902645965, 0.7299802163671406, 0.7448617287320741, 0.7523337700277294]",0.00013008014598547653
0.5,6,"[8.420546902829389e-05, 1.1370187851469453e-05, 7.936459509147021e-06, 7.550602994275781e-06, 8.699210020747866e-06, 1.2009379763426862e-05, 0.5164541737434157, 0.6042079493537739, 0.6412455143918534, 0.6575401135678431, 0.6578884908176729]",7.665486603401811e-05
0.5,7,"[5.456730209327321e-05, 6.290225815774875e-06, 4.24393871879429e-06, 3.866079597893156e-06, 4.172321710235059e-06, 5.20514251320755e-06, 7.495898785636941e-06, 1.166514613783702e-05, 1.764169539303008e-05, 3.263589812066116e-05, 0.0006248572847051529]",5.070122249538005e-05
0.5,8,"[3.8322575180584575e-05, 3.866741513755195e-06, 2.5528114974014843e-06, 2.2681434025436694e-06, 2.3638904631018965e-06, 2.7980673184552423e-06, 3.7328632499314494e-06, 5.438394364171438e-06, 8.302020955186834e-06, 1.5469511499369905e-05, 0.0003395149943304142]",3.6054431778040904e-05
0.5,9,"[2.8423883114685792e-05, 2.5535159988292143e-06, 1.6605257943938214e-06, 1.451531110648021e-06, 1.4805163963179288e-06, 1.6996228978330111e-06, 2.1732226121797646e-06, 3.029497209333777e-06, 4.53729188839281e-06, 8.5397930594095e-06, 0.00021385613821910997]",2.697235200403777e-05
0.5,10,"[2.1934691917451232e-05, 1.777081581498355e-06, 1.1427599899841804e-06, 9.875281928136322e-07, 9.925859973973442e-07, 1.1169811761522783e-06, 1.3911248061549275e-06, 1.8890302363337871e-06, 2.798067318776302e-06, 5.29812795872115e-06, 0.00014826892760663878]",2.0947163724637598e-05
1.0,1,"[0.9491143638216606, 0.9497068198068404, 0.9501671886436166, 0.9504957940476457, 0.9506928657880118, 0.9507585411466745, 0.9506928657880122, 0.9504957940476464, 0.9501671886436159, 0.9497068198068404, 0.9491143638216606]",-0.0016441773250138736
1.0,2,"[0.8903312222988855, 0.8930676091234145, 0.8951839937768319, 0.8966894476001073, 0.8975902574814638, 0.8978901207171079, 0.8975902574814635, 0.8966894476001073, 0.8951839937768319, 0.8930676091234145, 0.8903312222988855]",-0.007558898418222437
1.0,3,"[0.8194095573130338, 0.8269621590942428, 0.8327168983760763, 0.8367674319216695, 0.8391748126164505, 0.8399735498753079, 0.8391748126164502, 0.8367674319216691, 0.832716898376076, 0.8269621590942424, 0.8194095573130338]",-0.020563992562274147
1.0,4,"[0.7253660607936244, 0.7442655964776344, 0.7579370926787034, 0.7672492599513191, 0.7726768007135337, 0.7744611907515743, 0.7726768007135334, 0.7672492599513184, 0.7579370926787034, 0.744265596477634, 0.7253660607936244]",-0.049095129957949846
1.0,5,"[0.30122498643626366, 0.6168046375573729, 0.6565447653342422, 0.6794403780902996, 0.6918247314109739, 0.6957731668771174, 0.6918247314109742, 0.6794403780902996, 0.6565447653342428, 0.6168046375573722, 0.301224977538674]",-0.39454818044085377
1.0,6,"[0.0003395149943196587, 3.618235731176585e-05, 2.5688087746968544e-05, 0.5196536258214918, 0.5723326031252896, 0.5844630231895267, 0.5723326031252892, 0.5196536258214924, 2.5688087750981793e-05, 3.6182357309839485e-05, 0.0003395149943304142]",-0.5841235081951963
1.0,7,"[0.0001876722271722576, 1.6398687926245202e-05, 1.0899558069573448e-05, 9.76158346905404e-06, 9.864830952482052e-06, 1.0079710679804591e-05, 9.864830953284704e-06, 9.761583468732981e-06, 1.089955806844974e-05, 1.6398687926405735e-05, 0.000187672227171776]",0.000177910643703043
1.0,8,"[0.00012036504483450594, 9.037402212804842e-06, 5.7602905572932895e-06, 4.917645496597081e-06, 4.753411088108384e-06, 4.770424458323911e-06, 4.753411088589973e-06, 4.917645496597081e-06, 5.7602905572932895e-06, 9.037402213125902e-06, 0.00012036504483466647]",0.00011561163374639757
1.0,9,"[8.420546902829389e-05, 5.573713780840968e-06, 3.466436550286079e-06, 2.8817886351125326e-06, 2.715285154940366e-06, 2.6925884238482708e-06, 2.715285154940366e-06, 2.8817886352730627e-06, 3.466436550286079e-06, 5.573713781001498e-06, 8.420546902829389e-05]",8.151288060444562e-05
1.0,10,"[6.238507893069436e-05, 3.701312581120069e-06, 2.2650176920772457e-06, 1.852122894076855e-06, 1.7184506806542128e-06, 1.6919881127766646e-06, 1.7184506806542128e-06, 1.852122894076855e-06, 2.2650176920772457e-06, 3.701312581120069e-06, 6.238507893053381e-05]",6.069309081775715e-05
2.0,1,"[0.9624696735492371, 0.9591638786615653, 0.9556820903493449, 0.952020055765136, 0.9481731936477611, 0.9441365582807586, 0.9399047981929166, 0.9354721086729338, 0.9308321769661841, 0.925978118763884, 0.9209024042671877]",0.0
2.0,2,"[0.9209024042671877, 0.914910501553723, 0.908155683559763, 0.9005966847344562, 0.8921846518240154, 0.8828611859575766, 0.8725556637527294, 0.8611814950993821, 0.8486307619801289, 0.8347662996686763, 0.8194095573130338]",0.0
2.0,3,"[0.8739849611610985, 0.8660894996973862, 0.8562951155029238, 0.8444280184589181, 0.8302547209838855, 0.813453036410653, 0.7935608871079947, 0.7698784226501181, 0.7412582688143858, 0.7055718647367438, 0.6578884908176729]",0.0
2.0,4,"[0.8194095573130338, 0.8107282426951872, 0.7981808056403484, 0.7812279378623653, 0.7589977854673308, 0.7299802163671406, 0.6911827717419683, 0.634791621106767, 0.0002859740489331104, 9.332486488562326e-05, 0.0003395149943304142]",0.0002461901294447909
2.0,5,"[0.7523337700277294, 0.7448617287320741, 0.7299802163671406, 0.7061771902645968, 0.6700788866685949, 0.6120955099776927, 2.3774313484905304e-05, 1.8962694386299056e-05, 1.8188781620359598e-05, 2.462553638114823e-05, 0.00014826892760663878]",0.0001300801459862792
2.0,6,"[0.6578884908176729, 0.6575401135678435, 0.6412455143918537, 0.6042079493537735, 0.5164541737434151, 1.2009379763587395e-05, 8.699210019784686e-06, 7.550602994115251e-06, 7.936459508986491e-06, 1.1370187851951042e-05, 8.420546902829389e-05]",7.665486603417864e-05
2.0,7,"[0.0006248572847629437, 3.2635898116326855e-05, 1.764169539286955e-05, 1.166514613783702e-05, 7.49589878627906e-06, 5.20514251288649e-06, 4.172321710395589e-06, 3.866079597893156e-06, 4.24393871895482e-06, 6.290225815774875e-06, 5.456730209327321e-05]",5.070122249538005e-05
2.0,8,"[0.0003395149943196587, 1.5469511499369905e-05, 8.302020953742064e-06, 5.438394364331968e-06, 3.7328632496103896e-06, 2.798067318776302e-06, 2.3638904631018965e-06, 2.2681434025436694e-06, 2.5528114974014843e-06, 3.866741513594665e-06, 3.8322575180584575e-05]",3.6054431778040904e-05
2.0,9,"[0.00021385613821910997, 8.53979305957003e-06, 4.53729188823228e-06, 3.0294972094943067e-06, 2.1732226121797646e-06, 1.6996228978330111e-06, 1.4805163963179288e-06, 1.4515311108085512e-06, 1.6605257943938214e-06, 2.553515998989745e-06, 2.8423883114685792e-05]",2.697235200387724e-05
2.0,10,"[0.00014826892760615718, 5.298127958881679e-06, 2.7980673184552423e-06, 1.8890302363337871e-06, 1.3911248061549275e-06, 1.1169811761522783e-06, 9.925859973973442e-07, 9.875281928136322e-07, 1.1427599899841804e-06, 1.777081581498355e-06, 2.1934691917451232e-05]",2.0947163724637598e-05
4.0,1,"[0.9689782432135391, 0.960078562710862, 0.9507585411466745, 0.940991476161434, 0.9307469010081193, 0.9199897755726544, 0.908679442948298, 0.8967682627285086, 0.884199789354195, 0.8709062952609727, 0.8568053251045692]",0.0
4.0,2,"[0.9352742174487964, 0.9175205981122384, 0.8978901207171079, 0.8760890958368641, 0.8517152678959751, 0.8241904057776328, 0.7926276185189588, 0.7555338989349412, 0.7099956979042858, 0.6484675001280353, 0.301224977538674]",0.0
4.0,3,"[0.8982237027223362, 0.8715195391607502, 0.8399735498753079, 0.8021034982415616, 0.7552012385799689, 0.6931104604307892, 0.5915274952679733, 4.429947131483579e-05, 3.871546751328901e-05, 6.379176759204946e-05, 0.00014826892760663878]",0.00010955346009334977
4.0,4,"[0.8568053251045692, 0.8207879517047217, 0.7744611907515743, 0.7116595155484873, 0.610930530822592, 2.0264760576398856e-05, 1.2985946416605997e-05, 1.0609357932972749e-05, 1.0640040515283999e-05, 1.5069971420376548e-05, 6.238507893053381e-05]",5.1775720997561064e-05
4.0,5,"[0.8092968317411096, 0.7630222379108965, 0.6957731668771174, 0.5738787594130855, 1.0919734363041668e-05, 6.414783346410555e-06, 4.815822844445573e-06, 4.287684741752455e-06, 4.544147713058645e-06, 6.455385111584211e-06, 3.4510405760862545e-05]",3.022272101911009e-05
4.0,6,"[0.7523337700277294, 0.693214524721381, 0.5844630231895267, 8.824477520463945e-06, 4.379415078124827e-06, 2.9315711353995586e-06, 2.348638523680843e-06, 2.174620283060196e-06, 2.3705898400207923e-06, 3.444198119413815e-06, 2.1934691917451232e-05]",1.9760071634391036e-05
4.0,7,"[0.6771997885269525, 0.5943821019359473, 1.0079710679804591e-05, 3.956569766938013e-06, 2.249236790490272e-06, 1.6020107153209479e-06, 1.3284738910620582e-06, 1.2579952709046435e-06, 1.3952142910564243e-06, 2.0634700825789203e-06, 1.5179848273418811e-05]",1.3921853002514168e-05
4.0,8,"[0.30122498643626366, 1.4980876100736394e-05, 4.770424458323911e-06, 2.165771114848498e-06, 1.321452043835915e-06, 9.755112512555832e-07, 8.264198551812652e-07, 7.940955592684101e-07, 8.910758681495238e-07, 1.3353731135755129e-06, 1.1130242470090196e-05]",1.0336146910821786e-05
