Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.5643986641837853, 0.5917450895191732, 0.6207741991362209, 0.6513433154607167, 0.6832531383636, 0.7162523156095291, 0.7500467407743775, 0.7843124787450055, 0.8187105830566102, 0.8529019210894249, 0.8865604555224385]",0.0
0.25,2,"[0.2949496713003446, 0.3157517966431083, 0.3413569870347263, 0.3726859802123414, 0.4106894275163632, 0.45615704661571255, 0.5093922414047617, 0.5698186181270743, 0.6357326974443115, 0.7044523168462228, 0.7728715915695655]",0.0
0.25,3,"[0.17217126575221156, 0.18108102268324625, 0.1940013829913001, 0.21206697462578403, 0.2369522422031158, 0.2710927027610313, 0.317820872083364, 0.3809449847382433, 0.4627615848335154, 0.5603179130775214, 0.6639010921041206]",0.0
0.25,4,"[0.11151193299596497, 0.11378790274319713, 0.1192910441283791, 0.12860995148438104, 0.14286852427740465, 0.16410783217713387, 0.1959371174380004, 0.24459454580157095, 0.31970382184712376, 0.4295746666784367, 0.5643986641837853]",0.0
0.25,5,"[0.07519402310685487, 0.07382740097079929, 0.07590675497123336, 0.08140557743741379, 0.09064140214130101, 0.10463314554327113, 0.12588412128752705, 0.1599154951493939, 0.21822252477132056, 0.32133670557138355, 0.4775825546900927]",0.0013666221360555814
0.25,6,"[0.04823101502956159, 0.04426524645494989, 0.044302510691919636, 0.04786903648395959, 0.05511952204251874, 0.06661995680142287, 0.08343268491686998, 0.10868359734407929, 0.152150672941572, 0.23909295420556362, 0.4044531301943919]",0.0039657685746117
0.25,7,"[0.029179832896527737, 0.024639450250614207, 0.02369823805504995, 0.025379790607769563, 0.029883922218764333, 0.03831392816040528, 0.05250192117541641, 0.07449803270458137, 0.10923742438948847, 0.17973863896976494, 0.34417122985726345]",0.005481594841477786
0.25,8,"[0.017872279324496372, 0.014127949101077888, 0.013122149466104351, 0.013747945770543602, 0.016017134190997057, 0.02076872015381185, 0.03011506959380023, 0.04801739734018302, 0.07907430482169259, 0.13749761200644203, 0.29494967130034444]",0.004750129858392021
0.25,9,"[0.011590029367291062, 0.008755354709627738, 0.00793137845847439, 0.008135701472819916, 0.009278676675314977, 0.011805531322935383, 0.017086789481465605, 0.028832137864077286, 0.05506373959972235, 0.10689728179140248, 0.25479500820131373]",0.0036586509088166724
0.25,10,"[0.008004866727626736, 0.005851588216306027, 0.005206081322311485, 0.00525082404623272, 0.005870953163962321, 0.007291241587265689, 0.010286844712104448, 0.017266317150075535, 0.036094574397086895, 0.0834041547739744, 0.2218961633476289]",0.002798785405315251
0.5,1,"[0.7284318413475099, 0.7414934311039939, 0.7548091100488276, 0.7683280848796674, 0.7819952068090756, 0.7957517611357865, 0.8095363669718246, 0.8232859582428957, 0.8369368146074128, 0.8504256104142214, 0.8636904508939728]",0.0
0.5,2,"[0.49385130380467246, 0.5092074509381395, 0.5267473246923217, 0.5464975116073794, 0.5683992824897206, 0.5922909799007036, 0.6178971014486411, 0.6448290674614346, 0.6726010643116522, 0.7006609138502164, 0.7284318413475099]",0.0
0.5,3,"[0.33350638094745366, 0.34037805215977684, 0.35089763263375634, 0.36560154368368475, 0.38502060731388743, 0.40962562759606297, 0.43970111120862515, 0.47514105296204295, 0.5152187846693029, 0.5584655406726744, 0.6028099930383725]",0.0
0.5,4,"[0.2342883372328944, 0.23216972784801043, 0.2342129645803923, 0.24093329456275472, 0.25299941669242504, 0.27137522724483853, 0.29737674880303505, 0.3325237589490585, 0.3779150137492054, 0.43291248540895344, 0.4938513038046723]",0.0021186093848839793
0.5,5,"[0.17217126575221156, 0.16419291323895913, 0.16100312976822467, 0.16253000342186863, 0.16896931178295105, 0.1810452936134447, 0.20025061117421358, 0.22913326164442993, 0.27137522724483853, 0.3304032604936581, 0.4044531301943919]",0.011168135983986888
0.5,6,"[0.1314202995480208, 0.12017907394473201, 0.1144866974475759, 0.11349250684553945, 0.11684149269637194, 0.12482325770721937, 0.1385917870008623, 0.16067091971846234, 0.1958625990931037, 0.2518172200358975, 0.3335063809474535]",0.017927792702481363
0.5,7,"[0.1030310165424368, 0.08961314690670535, 0.08248284053936039, 0.08023948246739049, 0.08215389565118932, 0.08811112409419215, 0.09872491523810616, 0.1158932275904148, 0.14422834609412993, 0.19368317809168958, 0.27790753777036337]",0.02279153407504632
0.5,8,"[0.08147888817903128, 0.06562593508046237, 0.057206797718438354, 0.05419047884759621, 0.055395959392033935, 0.06050755882515799, 0.06990117496691615, 0.08477288412556293, 0.10849877391200345, 0.15112616220171746, 0.2342883372328949]",0.027288409331435066
0.5,9,"[0.06355605553857424, 0.04562786157808511, 0.037098007874193074, 0.0340738031188512, 0.03471600486920232, 0.038703933840279675, 0.046737045715600535, 0.060344320531300136, 0.0820865414620472, 0.11968106270986077, 0.19978201979142857]",0.02948225241972304
0.5,10,"[0.04823101502956159, 0.030395209099605917, 0.02333067711338831, 0.02093967451459264, 0.021192118631177422, 0.023795565330443247, 0.029544801029113818, 0.04054057280722138, 0.06050755882358768, 0.09562928123073046, 0.17217126575219263]",0.02729134051496895
1.0,1,"[0.8180679644152546, 0.8183017507673985, 0.8184817013124083, 0.8186092068979186, 0.8186852917956365, 0.8187105830566102, 0.8186852917956365, 0.8186092068979186, 0.8184817013124086, 0.8183017507673985, 0.8180679644152546]",-0.000642618641355508
1.0,2,"[0.643110568074195, 0.6406041094360422, 0.6385400225202159, 0.6370021220343223, 0.6360533524340085, 0.6357326974443115, 0.6360533524340085, 0.6370021220343216, 0.6385400225202159, 0.6406041094360422, 0.6431105680741943]",0.007377870629882821
1.0,3,"[0.49385130380467246, 0.4834091330635177, 0.4746987255251189, 0.46816721630477975, 0.4641277228092762, 0.4627615848335154, 0.46412772280927606, 0.46816721630477975, 0.4746987255251177, 0.48340913306351685, 0.4938513038046723]",0.031089718971156866
1.0,4,"[0.3788871265415092, 0.3583613345399855, 0.34163932884442366, 0.3294739518479193, 0.32214547178331787, 0.31970382184712376, 0.3221454717833185, 0.3294739518479201, 0.3416393288444227, 0.3583613345399855, 0.37888712654150936]",0.05918330469438543
1.0,5,"[0.2949496713003446, 0.2661796549693331, 0.24432086507085762, 0.22947681574930162, 0.2209797341211353, 0.21822252477132056, 0.22097973412113514, 0.2294768157493026, 0.24432086507085796, 0.2661796549693325, 0.29494967130034444]",0.07672714652902388
1.0,6,"[0.2342883372328944, 0.2005029701732325, 0.17721382038757238, 0.16261220598061907, 0.15466779492063892, 0.152150672941572, 0.1546677949206436, 0.1626122059806549, 0.1772138203875809, 0.2005029701732325, 0.2342883372328949]",0.08213766429132241
1.0,7,"[0.18990429717488946, 0.15387640335933622, 0.13147244936471159, 0.11832628770059153, 0.11140367681563074, 0.10923742438948847, 0.11140367681394213, 0.11832628770058334, 0.13147244936480484, 0.15387640335933223, 0.1899042971748869]",0.08066687278539844
1.0,8,"[0.15675750379825462, 0.12024965319130777, 0.09934007582580699, 0.08736678707908599, 0.08105610402332043, 0.07907430482169259, 0.08105610402086304, 0.08736678708105344, 0.09934007582209699, 0.1202496531912524, 0.15675750379811976]",0.07768319897642717
1.0,9,"[0.1314202995480208, 0.09497747836114415, 0.07473699403456595, 0.06307209895258038, 0.05696336553384022, 0.05506373959972235, 0.05696336555029229, 0.06307209895372481, 0.07473699402073179, 0.09497747835806776, 0.13142029954793896]",0.0763565599482166
1.0,10,"[0.11151193299596497, 0.074490675040577, 0.05415468309744494, 0.04310337167121667, 0.03770751819671348, 0.036094574397086895, 0.03770751820248197, 0.043103371670716616, 0.05415468311365302, 0.07449067503952343, 0.1115119329971972]",0.07541735859887808
2.0,1,"[0.8636904508939728, 0.8504256104142214, 0.8369368146074131, 0.8232859582428961, 0.8095363669718253, 0.7957517611357865, 0.7819952068090756, 0.7683280848796674, 0.7548091100488272, 0.7414934311039942, 0.7284318413475099]",0.0
2.0,2,"[0.7284318413475099, 0.7006609138502161, 0.6726010643116522, 0.6448290674614343, 0.6178971014486414, 0.5922909799007032, 0.5683992824897204, 0.5464975116073792, 0.5267473246923223, 0.5092074509381402, 0.4938513038046723]",0.0
2.0,3,"[0.6028099930383725, 0.5584655406726746, 0.5152187846693034, 0.4751410529620428, 0.4397011112086255, 0.40962562759606297, 0.38502060731388826, 0.365601543683685, 0.350897632633756, 0.3403780521597772, 0.3335063809474535]",0.0
2.0,4,"[0.49385130380467246, 0.4329124854089533, 0.3779150137492062, 0.33252375894905895, 0.2973767488030352, 0.27137522724483853, 0.25299941669242537, 0.2409332945627549, 0.23421296458039265, 0.23216972784801027, 0.2342883372328949]",0.0021186093848846455
2.0,5,"[0.40445313019439205, 0.3304032604936581, 0.27137522724483853, 0.2291332616444301, 0.20025061117421358, 0.18104529361343893, 0.16896931178295216, 0.16253000342187632, 0.16100312976823655, 0.16419291323897423, 0.17217126575219263]",0.011168135983956079
2.0,6,"[0.33350638094745366, 0.2518172200358975, 0.19586259909310336, 0.16067091971843103, 0.13859178700085636, 0.124823257706972, 0.1168414926965673, 0.11349250684464418, 0.11448669744785361, 0.12017907394340523, 0.13142029954793896]",0.01792779270329478
2.0,7,"[0.27790753777036303, 0.19368317809168714, 0.14422834609391047, 0.11589322758893167, 0.0987249152374825, 0.0881111240941793, 0.08215389565240645, 0.08023948245558125, 0.08248284052382478, 0.08961314690598651, 0.10303101654587858]",0.022791534090297327
2.0,8,"[0.2342883372328944, 0.15112616220167618, 0.10849877391375612, 0.08477288412263469, 0.06990117496899181, 0.06050755882358768, 0.05539595938796675, 0.05419047885233313, 0.057206797709282366, 0.06562593508744398, 0.08147888817934061]",0.027288409327007483
2.0,9,"[0.19978201979142773, 0.11968106270987153, 0.08208654145758078, 0.06034432053272452, 0.0467370456962326, 0.03870393383166531, 0.03471600486396359, 0.03407380312398398, 0.037098007858966484, 0.04562786159528413, 0.06355605555665715]",0.02948225243267317
2.0,10,"[0.17217126575221156, 0.09562928123135765, 0.06050755882515799, 0.040540572801663344, 0.02954480102955865, 0.023795565347310137, 0.02119211863061894, 0.02093967451651194, 0.023330677113642753, 0.0303952091057677, 0.048231015026745254]",0.027291340510233315
4.0,1,"[0.8865604555224385, 0.8529019210894249, 0.8187105830566102, 0.7843124787450052, 0.7500467407743775, 0.7162523156095291, 0.6832531383635997, 0.6513433154607163, 0.6207741991362206, 0.5917450895191744, 0.5643986641837853]",0.0
4.0,2,"[0.7728715915695655, 0.7044523168462231, 0.6357326974443115, 0.5698186181270742, 0.5093922414047612, 0.4561570466157127, 0.4106894275163637, 0.3726859802123419, 0.34135698703472656, 0.3157517966431083, 0.29494967130034444]",0.0
4.0,3,"[0.6639010921041206, 0.5603179130775214, 0.4627615848335154, 0.38094498473824395, 0.3178208720833642, 0.271092702761031, 0.23695224220311567, 0.21206697462578453, 0.19400138299129335, 0.18108102268322473, 0.17217126575219263]",0.0
4.0,4,"[0.5643986641837853, 0.42957466667843686, 0.31970382184712376, 0.24459454580157095, 0.19593711743800024, 0.16410783217715186, 0.14286852427751415, 0.12860995148374085, 0.11929104412729793, 0.11378790274385835, 0.1115119329971972]",0.0
4.0,5,"[0.47758255469009336, 0.3213367055713837, 0.21822252477132056, 0.15991549514939343, 0.12588412128803209, 0.10463314554349668, 0.09064140213928971, 0.0814055774370115, 0.07590675495728572, 0.07382740097207967, 0.07519402310859823]",0.0013666221365185582
4.0,6,"[0.40445313019439205, 0.2390929542055641, 0.152150672941572, 0.10868359734406804, 0.08343268491268176, 0.06661995679982607, 0.0551195220543047, 0.04786903645294277, 0.04430251069214807, 0.04426524643933144, 0.048231015026745254]",0.0039657685874138135
4.0,7,"[0.3441712298572636, 0.17973863896976525, 0.10923742438948847, 0.07449803270428294, 0.05250192117480993, 0.03831392813133105, 0.02988392221903547, 0.02537979058701335, 0.02369823805861404, 0.024639450251440296, 0.02917983289534271]",0.005481594836728668
4.0,8,"[0.2949496713003446, 0.13749761200643254, 0.07907430482169259, 0.04801739733883586, 0.030115069565598798, 0.020768720151652077, 0.016017134178963565, 0.013747945770625953, 0.013122149469192147, 0.014127949108105572, 0.01787227932614036]",0.0047501298569482125
4.0,9,"[0.25479500820131373, 0.10689728179530449, 0.05506373959972235, 0.028832137866990105, 0.017086789481479413, 0.011805531322680139, 0.009278676679898911, 0.008135701468511931, 0.007931378455965307, 0.008755354705659756, 0.011590029371959276]",0.0036586509159939693
4.0,10,"[0.22189616334762904, 0.08340415478746344, 0.036094574397086895, 0.017266317151840883, 0.010286844714004, 0.00729124158659676, 0.005870953163168661, 0.0052508240485079115, 0.005206081322259634, 0.005851588216256423, 0.008004866728026134]",0.002798785405766499
