Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7796637888928538, 0.805918121747347, 0.8305921470123288, 0.8538375214149515, 0.8757817214639415, 0.8965324321329675, 0.9161811596226304, 0.9348061608089083, 0.9524748074151322, 0.9692454953679778]",0.0
0.25,2,"[0.2958865016597557, 0.3868664425423188, 0.4886355023015406, 0.579054120366908, 0.6547960879834994, 0.7188051028536648, 0.7738768894123782, 0.8219692344202688, 0.8644168848481177, 0.9021501139833288, 0.9358383002009719]",0.0
0.25,3,"[0.1059893387399249, 0.12156690665756004, 0.14852838834228246, 0.20214723257985426, 0.3195547701093766, 0.48454186504812297, 0.6139118397791705, 0.7103700911978292, 0.7862175653462001, 0.8479521947688587, 0.8991215117331617]",0.0
0.25,4,"[0.052335165535191665, 0.02680785938058871, 0.0003168697022927268, 0.00015179999160983573, 0.00011202834617005004, 0.00011060256920009007, 0.33990641500284585, 0.5628282468831647, 0.6951174399939419, 0.7881198522943607, 0.8580851533677942]",0.052224562965991574
0.25,5,"[0.024350093884423073, 0.00040359744820048807, 9.524194833690874e-05, 5.236687010377888e-05, 3.801533664151882e-05, 3.349508350057009e-05, 3.625861795808515e-05, 5.691636018673675e-05, 0.5772847900587752, 0.7192842351748703, 0.8110263763348866]",0.024316598800922504
0.25,6,"[0.012282298853348255, 0.00014616148899685455, 4.6079187264204e-05, 2.5899290040748543e-05, 1.861949825053199e-05, 1.5863346914189138e-05, 1.5906892738226158e-05, 1.992272098112677e-05, 3.9685794601480334e-05, 0.6329177999129647, 0.7546187523194641]",0.012266435506434066
0.25,7,"[0.007116211686337097, 7.819622122374721e-05, 2.6513388752660043e-05, 1.500111845407593e-05, 1.0715151098173797e-05, 8.975640304003435e-06, 8.700837769682025e-06, 1.0108746380892183e-05, 1.592729248435289e-05, 0.46380895483649004, 0.6802427247605948]",0.007107510848567415
0.25,8,"[0.004608900451835336, 4.819135954276566e-05, 1.683791874534087e-05, 9.547077534611608e-06, 6.7878505221217344e-06, 5.627404974706837e-06, 5.35127646895664e-06, 5.982770465819881e-06, 8.596486884889663e-06, 1.8761633551675954e-05, 0.30247539611010266]",0.004603549175366379
0.25,9,"[0.003232053966267722, 3.220215099872803e-05, 1.1420563094588414e-05, 6.478425963828621e-06, 4.5900162182627355e-06, 3.77878378050885e-06, 3.5491187872312198e-06, 3.876231473522349e-06, 5.297952060353673e-06, 1.0433129256026272e-05, 4.1550332098241655e-05]",3.8001213311010434e-05
0.25,10,"[0.002399127087205862, 2.2723758387746885e-05, 8.125226283723919e-06, 4.608093117715944e-06, 3.2559774893341166e-06, 2.667008974502441e-06, 2.48337095364356e-06, 2.6700170354027255e-06, 3.5363639003831105e-06, 6.5803493540291435e-06, 2.6377352568303005e-05]",2.3893981614659446e-05
0.5,1,"[0.8657030637112519, 0.8772941318878275, 0.88842896641867, 0.8991240096192831, 0.9093942869777955, 0.919253556949872, 0.9287144469594504, 0.937788576437376, 0.9464866678768525, 0.9548186469205243, 0.9627937324657424]",0.0
