Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.5643986641837847, 0.5996315639757421, 0.6367857096018352, 0.675646745620598, 0.7159444067115348, 0.7573649844162146, 0.7995669761115433, 0.842197441860897, 0.8849067542596375, 0.9273601551986459, 0.9692454953679778]",0.0
0.25,2,"[0.2949496713003446, 0.32677856397724375, 0.3652024255309932, 0.41136200030597525, 0.4661919961349874, 0.5300924745359825, 0.6025717287252302, 0.6820553798425361, 0.7660455530339799, 0.8515957592824086, 0.9358383002009716]",0.0
0.25,3,"[0.17217126575222458, 0.18950909536221858, 0.21265424380328826, 0.24413296923189487, 0.28733076985727407, 0.34630683167222304, 0.42493354146444945, 0.5249094540543311, 0.6431785322255655, 0.7714054717720917, 0.8991215117331617]",0.0
0.25,4,"[0.1115119329958218, 0.1164180201098536, 0.11908015002927812, 0.0003282919482873028, 0.00018555332330466158, 0.00015625183205525547, 0.00021078631056956206, 0.36937402674965514, 0.5132743206143573, 0.6842165129995643, 0.8580851533677942]",0.11135568116376654
0.25,5,"[0.07519402312009202, 0.022557981329988888, 0.00016800771824494086, 7.870026408377208e-05, 5.206082984750958e-05, 4.199431402657833e-05, 4.0203170192875155e-05, 4.7905406082709535e-05, 9.613090323452358e-05, 0.5834118088371909, 0.8110263763348866]",0.07515381994989914
0.25,6,"[0.04823101499217142, 0.0003153489652307999, 7.280930166578618e-05, 3.724033903373338e-05, 2.5084444502823017e-05, 2.0033706360936037e-05, 1.8462136278516694e-05, 2.0016164619144555e-05, 2.8194359246243106e-05, 8.622539261919141e-05, 0.7546187523194637]",0.0482125528558929
0.25,7,"[0.02917983289544593, 0.0001431164927965643, 4.065975838181743e-05, 2.1407211474969176e-05, 1.450559597558062e-05, 1.1526225453182435e-05, 1.0452116660594077e-05, 1.0942372542412268e-05, 1.4165266030216925e-05, 2.8896374925282568e-05, 0.6802427247605948]",0.029169380778785333
0.25,8,"[0.017872279311788333, 8.373782064518729e-05, 2.5595580613829345e-05, 1.3656269988805055e-05, 9.276549213192163e-06, 7.348334054826624e-06, 6.605229449824099e-06, 6.7913424068737835e-06, 8.453714189326643e-06, 1.539598218635334e-05, 0.30247554626878304]",0.01786567408233851
0.25,9,"[0.01159002937190646, 5.473440131642296e-05, 1.734106253448378e-05, 9.317960284549699e-06, 6.336850116405209e-06, 5.009282631002486e-06, 4.478413870838036e-06, 4.555281075524333e-06, 5.5455260133141085e-06, 9.555191647394764e-06, 4.155033196259378e-05]",3.707191809175575e-05
0.25,10,"[0.008004866727042887, 3.8236800838689076e-05, 1.2362301624112025e-05, 6.670166305898167e-06, 4.538655145649028e-06, 3.5825734471315067e-06, 3.1914400749855075e-06, 3.223616676853714e-06, 3.869684601251374e-06, 6.4574112711594736e-06, 2.637735252415725e-05]",2.3185912449171744e-05
0.5,1,"[0.7284318413475099, 0.7513211374095603, 0.7745326121587945, 0.7979926828423303, 0.8216255290240166, 0.8453542559504295, 0.8691019681489645, 0.8927927176711093, 0.9163523068200821, 0.9397089400487528, 0.9627937324657424]",0.0
0.5,2,"[0.4938513038046721, 0.5273035165023976, 0.5637692325869614, 0.6031134858643413, 0.645056576444097, 0.68917729450996, 0.7349354189906485, 0.7817093428370323, 0.8288403605817389, 0.8756744331754093, 0.921595030501554]",0.0
