Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7796380568198654, 0.8058669383511275, 0.830515520633108, 0.8537352510866413, 0.8756534445594387, 0.8963776607582452, 0.9159993089449759, 0.9345965716214906, 0.9522367645686698, 0.9689782432135391]",0.0
0.25,2,"[0.2958865016597557, 0.38679351973854215, 0.488493064586374, 0.5788612797541541, 0.6545586814430747, 0.7185222695975758, 0.7735456057375714, 0.8215857471428004, 0.8639771962133348, 0.9016501944879837, 0.935274217448796]",0.0
0.25,3,"[0.1059893387399249, 0.12164698666557797, 0.14863460111335192, 0.2020960383303684, 0.3190993587082129, 0.4839455237714341, 0.6133110658544738, 0.7097284440961061, 0.7855074429747293, 0.8471550585916862, 0.8982237027223359]",0.0
0.25,4,"[0.052335165535191665, 0.03240109852795292, 0.00241481627955027, 0.001295697249045165, 0.0010273568685790478, 0.0010663555286499413, 0.33867183018276464, 0.5617376992143419, 0.694051032212196, 0.7869701601464854, 0.8568053251045689]",0.051307808666612616
0.25,5,"[0.024350093884423073, 0.002101017142049089, 0.0006852152804973151, 0.0004288977619131497, 0.0003383970825247823, 0.00031631639414378296, 0.0003577248338997031, 0.000576653006974926, 0.5756161860227125, 0.7176851034155064, 0.8092968317411092]",0.02403377749027929
0.25,6,"[0.012282298853348255, 0.0007825984984696033, 0.00032585378538510875, 0.00020961478258654784, 0.00016429135059617558, 0.00014873791248455945, 0.0001560364567590624, 0.00020220459118252214, 0.0004100173056627777, 0.6306521444505103, 0.7523337700277288]",0.012133560940863696
0.25,7,"[0.007116211686337097, 0.0004215768053889129, 0.00018651286228905527, 0.0001209997752685444, 9.431755811547233e-05, 8.398778419352691e-05, 8.51923823156608e-05, 0.00010247172741329719, 0.0001655974490252066, 0.4089791246494432, 0.6771997885269528]",0.0070322239021435706
0.25,8,"[0.004608900451835336, 0.00026084727813824576, 0.00011834437322329343, 7.697808041478886e-05, 5.973936254993309e-05, 5.2650458145722435e-05, 5.238502209388053e-05, 6.063457220654213e-05, 8.945587321078213e-05, 0.00019886810162361186, 0.30122474366287927]",0.004556515429741455
0.25,9,"[0.003232053966267722, 0.00017495621582969324, 8.033495909386194e-05, 5.2275977420624414e-05, 4.042495341489672e-05, 3.53754567387041e-05, 3.475880497669139e-05, 3.9298543808049165e-05, 5.516305492868411e-05, 0.00011081311908250926, 0.00045159502493384525]",0.00041683621995715385
0.25,10,"[0.002399127087205862, 0.00012391691020796083, 5.7239849149139674e-05, 3.722845285222865e-05, 2.8704980932040505e-05, 2.4988670653977315e-05, 2.4338165841168414e-05, 2.7085080183847818e-05, 3.684390398139425e-05, 6.996450758825132e-05, 0.00028703533564146356]",0.00026269716980029513
0.5,1,"[0.8657030637112519, 0.8772640485997859, 0.8883683928097657, 0.8990324868158814, 0.909271311190532, 0.9190985857566596, 0.9285269050457773, 0.9375678608759581, 0.9462321530132377, 0.9545296889177155, 0.9624696735492367]",0.0
0.5,2,"[0.6828967534657918, 0.717546950942418, 0.7490977824566631, 0.7778907782485618, 0.8042117283217147, 0.8282961505655301, 0.850337674937803, 0.8704961622509123, 0.8889046459601846, 0.9056749895252345, 0.9209024042671877]",0.0
0.5,3,"[0.39781784461028913, 0.4796410490065028, 0.554994721733987, 0.6196659081295861, 0.6745974063935172, 0.7215001716490881, 0.761791048147337, 0.7965156798849877, 0.8264360523760315, 0.8521163095447293, 0.8739849611610986]",0.0
0.5,4,"[0.17787740446624523, 0.2106270528613019, 0.2714377309412974, 0.3767396217130407, 0.4919382816494103, 0.5840412825427095, 0.655247499880109, 0.7113326664207217, 0.7560092410959257, 0.7915488933524792, 0.8194095573130338]",0.0
0.5,5,"[0.1059893387399249, 0.10367936839383247, 0.00253258911731094, 0.0012067906837192476, 0.0009335167989834363, 0.0010256058089451816, 0.5058019938519969, 0.6040126652919033, 0.6713517583892834, 0.7191233055868893, 0.7523337700277288]",0.10505582194094147
0.5,6,"[0.06976948568283071, 0.003378201138283648, 0.0007605428881269099, 0.0004300036511806653, 0.00032434653645034556, 0.0002985087208657899, 0.000334915102259393, 0.00046735437550520095, 0.5486586148207319, 0.6196548376130685, 0.6578884908176722]",0.06947097696196493
