Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8580851533677942, 0.8720279096415818, 0.8851716746420718, 0.8975980299758681, 0.9093739845511588, 0.9205553849490695, 0.9311893664612075, 0.9413161555288092, 0.9509704218894205, 0.960182310790738, 0.9689782432135391]",0.0
0.25,2,"[0.3024755564353279, 0.6517596140033368, 0.7125981749592663, 0.7576207310724181, 0.7942921128328013, 0.8254933679060059, 0.8527006938012553, 0.8767910060557906, 0.898336065340282, 0.9177336547884468, 0.9352742174487964]",0.0
0.25,3,"[1.362002859909818e-05, 5.944868026188243e-06, 3.7464461519352583e-06, 4.433185046000563e-06, 0.5952310145104655, 0.6955678325466143, 0.7569240854287682, 0.8032711309965779, 0.8406882005096443, 0.8718507903817425, 0.8982237027223362]",9.873582447162922e-06
0.25,4,"[5.7307133579290275e-06, 1.415836397916442e-06, 1.0276361021326422e-06, 1.0570199223728328e-06, 1.3449427132514899e-06, 2.2056263963005698e-06, 0.6140477417335204, 0.7134782360933811, 0.7755050069585707, 0.8212524579120662, 0.8568053251045692]",4.7030772557963856e-06
0.25,5,"[3.168898324074857e-06, 6.063636618881252e-07, 4.377548012152382e-07, 4.2566374888403294e-07, 4.964205211824382e-07, 6.942908795003354e-07, 1.2625225033668095e-06, 0.5771423464346245, 0.6972774461547864, 0.7636486192914069, 0.8092968317411096]",2.7432345751908242e-06
0.25,6,"[2.013099875286857e-06, 3.2313753665286417e-07, 2.2792890102397012e-07, 2.153643279790963e-07, 2.4136943039294504e-07, 3.160536959414786e-07, 5.036630877223539e-07, 1.1132927016756478e-06, 0.5869539728542228, 0.694071142020871, 0.7523337700277294]",1.7977355473077606e-06
0.25,7,"[1.3924533855545093e-06, 1.9339025650803402e-07, 1.3395384585458536e-07, 1.2436819734984038e-07, 1.3623930460358612e-07, 1.7226037985341024e-07, 2.5777421715521017e-07, 4.965513536347998e-07, 1.4567856842683535e-06, 0.595773390109657, 0.6771997885269525]",1.2680851882046688e-06
0.25,8,"[1.0205122199354096e-06, 1.250421622745324e-07, 8.545624747621668e-08, 7.840251641853144e-08, 8.461969806277196e-08, 1.0469530822271515e-07, 1.5107666961526958e-07, 2.708558089321084e-07, 6.850341883211673e-07, 2.7480716253046882e-06, 0.30122498089572286]",9.421097035168781e-07
0.25,9,"[7.79995116007344e-07, 8.554007609499572e-08, 5.786570782967609e-08, 5.263325893904662e-08, 5.6216036112586054e-08, 6.853157186560143e-08, 9.658019004000884e-08, 1.658195440854713e-07, 3.851043869139579e-07, 1.396759233787537e-06, 0.00045159502344059495]",7.273618570682974e-07
0.25,10,"[6.15496835326073e-07, 6.11014499098785e-08, 4.100339026799112e-08, 3.705197627823509e-08, 3.926780464709096e-08, 4.7359111250586836e-08, 6.56418814717999e-08, 1.0949436120060656e-07, 2.4132871789159134e-07, 8.220640748864601e-07, 0.0002870353352557099]",5.784448590478379e-07
