Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.5643986641837853, 0.5996060246417294, 0.6367339554516942, 0.6755683680005361, 0.7158392155498376, 0.757232936786561, 0.7994080931608867, 0.8420117272944652, 0.8846941260972927, 0.9271203990108529, 0.9689782432135391]",0.0
0.25,2,"[0.2949496713003446, 0.3267397697353918, 0.365115855230579, 0.4112193380551403, 0.4659870349172154, 0.5298223383016705, 0.6022371754793143, 0.6816597121244368, 0.7655924887753774, 0.8510874010044355, 0.9352742174487964]",0.0
0.25,3,"[0.17217126575221944, 0.18949429367267448, 0.21260714213238643, 0.24402371432126033, 0.28712121486268144, 0.34596316132072275, 0.424441519112615, 0.524280935536978, 0.6424418083608834, 0.7705847410797457, 0.8982237027223362]",0.0
0.25,4,"[0.11151193299561278, 0.11658054174274753, 0.12133686787019365, 0.003416971037664301, 0.0019003215617734313, 0.0016293785430853695, 0.002266638442316622, 0.36860244880156606, 0.5122010225313937, 0.6830135875917356, 0.8568053251045692]",0.10988255445252741
0.25,5,"[0.07519402310783875, 0.03929127142566659, 0.0014284711585042572, 0.0007159240890417298, 0.0004985333415218364, 0.00041789768108234295, 0.0004121515222193329, 0.000502567436715848, 0.0010130416787177278, 0.5817025588290086, 0.8092968317411096]",0.07478187158561941
0.25,6,"[0.04823101499197735, 0.0021055059401057794, 0.0005858815162385287, 0.00032956869884358226, 0.00023599755586805788, 0.00019673439314490845, 0.00018718748320107495, 0.00020807065143360043, 0.0002988123218196813, 0.000857821342911175, 0.7523337700277294]",0.048043827508776275
0.25,7,"[0.029179832881656882, 0.0009159555288377997, 0.0003210878356741157, 0.00018763737222965334, 0.00013565009546018583, 0.00011268426549752011, 0.00010556735200982762, 0.00011333211955057772, 0.0001496808446951258, 0.0003095641829568315, 0.6771997885269525]",0.029074265529647054
0.25,8,"[0.01787227933889142, 0.0005273830640866429, 0.00020065845386417467, 0.00011930253263865397, 8.659272500775076e-05, 7.175093873268555e-05, 6.66407421986082e-05, 7.025561945545283e-05, 8.920955051071065e-05, 0.00016501208460015677, 0.3012249929987743]",0.017805638596692812
0.25,9,"[0.011590029365105286, 0.0003422966857998917, 0.00013559812607300665, 8.134434583335592e-05, 5.914667695224787e-05, 4.891624539579742e-05, 4.5185628626640544e-05, 4.711882099789845e-05, 5.850028950936908e-05, 0.00010239142870128831, 0.0004515950234521531]",0.00040640939482551255
0.25,10,"[0.008004866727854528, 0.00023848735333144882, 9.662710358058902e-05, 5.825490559306042e-05, 4.2390480068800894e-05, 3.5006996328290375e-05, 3.22180433707594e-05, 3.3356877855015694e-05, 4.082795895218933e-05, 6.919635881260432e-05, 0.0002870353352632548]",0.00025481729189249543
0.5,1,"[0.7284318413475099, 0.7512901894450716, 0.7744703232567027, 0.7978987125122152, 0.8214995733487406, 0.8451960314455055, 0.868911196446754, 0.8925691119691102, 0.9160955608676559, 0.9394187202589716, 0.9624696735492371]",0.0
0.5,2,"[0.4938513038046728, 0.5272429288915571, 0.563643951372726, 0.6029203685014823, 0.6447935439020406, 0.6888432456339053, 0.7345299724447384, 0.7812324754481784, 0.8282920402032388, 0.8750543367252437, 0.9209024042671877]",0.0
0.5,3,"[0.33350638094745433, 0.3616620771831553, 0.3953685046097847, 0.435523307022853, 0.4827913018225851, 0.5373362050358395, 0.5985723313825493, 0.6650757170838099, 0.7347467261931923, 0.8051677652749559, 0.8739849611610985]",0.0
0.5,4,"[0.23428833723289458, 0.2514257288676608, 0.27355410872365515, 0.3027785816375125, 0.34182516141901664, 0.39358248744226787, 0.4599608322481465, 0.5404170004471246, 0.6312253793685937, 0.7263575358321819, 0.8194095573130338]",0.0
0.5,5,"[0.17217126575221944, 0.17787230773710877, 0.18432043770251716, 0.0021576289274204343, 0.0011421527383714855, 0.0008824228078133963, 0.0008693737875733718, 0.38394698414608824, 0.5026549764337988, 0.6298205115466429, 0.7523337700277294]",0.17130189196464607
