Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.7516481706018998, 0.7714411475169073, 0.7895729767847369, 0.8061601679141808, 0.8213066447068879, 0.8351053457956381, 0.847639869380741, 0.8589859872503396, 0.8692129627752787, 0.8783846600760702, 0.8865604555224378]",0.0
0.25,2,"[0.2958865016597557, 0.36599648358658243, 0.4465276688338159, 0.5206435833778962, 0.5823062055315247, 0.6325030501989962, 0.6733535434513159, 0.7066339434967439, 0.7336794315228, 0.7554974472813875, 0.7728715915695659]",0.0
0.25,3,"[0.1059893387399249, 0.11818955798473249, 0.13731886708827742, 0.1690154393919542, 0.22681562815120318, 0.33058107986179525, 0.4461905420896769, 0.5315533012268087, 0.5913529445794002, 0.6337887243151813, 0.663901092104121]",0.0
0.25,4,"[0.052335165535191665, 0.056304472586448884, 0.06371747511089472, 0.07540716676686579, 0.09328752336527504, 0.12294527462331838, 0.18316534244515323, 0.3119909848388035, 0.4384536910820177, 0.5162248356205346, 0.5643986641837854]",0.0
0.25,5,"[0.024350093884423073, 0.02474960614679256, 0.027510262775318966, 0.03321132643664521, 0.04325997053386175, 0.06001196313671275, 0.08750996287768405, 0.14108903969149889, 0.2737683681093411, 0.40547205949150794, 0.4775825546900932]",0.0
0.25,6,"[0.012282298853348255, 0.011675219575687928, 0.01236849727893846, 0.014446041645746841, 0.01865069267003799, 0.02688767941204837, 0.04341628215791418, 0.07597490491321558, 0.14770493792591025, 0.30360023390804664, 0.4044531301943924]",0.000607079277660327
0.25,7,"[0.007116211686337097, 0.006417278886023164, 0.006519961604830871, 0.007313197684499299, 0.009056769323789446, 0.012589667817320765, 0.02030975257288925, 0.039361870750557776, 0.08688999169234904, 0.21436521915761658, 0.3441712298572638]",0.0006989328003139334
0.25,8,"[0.004608900451835336, 0.003987689244274616, 0.003926316505053943, 0.004268807437916077, 0.0050992773984612815, 0.006781576961365671, 0.010407426441662834, 0.01978526610178604, 0.05021277272486422, 0.14600330932296204, 0.2949496713003448]",0.0006825839467813925
0.25,9,"[0.003232053966267722, 0.0027006699939817716, 0.0025952976833951854, 0.0027572980407770953, 0.0032071777103978485, 0.004120499225871794, 0.0060303915192869584, 0.010800365483359213, 0.02749429131904655, 0.10036867735907458, 0.25479500820131357]",0.0006367562828725366
0.25,10,"[0.002399127087205862, 0.0019434112249204919, 0.0018309653001826567, 0.0019112525553629867, 0.0021799636913531844, 0.0027309018587755615, 0.00385432591862451, 0.006531060431591025, 0.015584745094777436, 0.06773247551106028, 0.2218961633476292]",0.0005681617870232053
0.5,1,"[0.8657030637112519, 0.8676178074761451, 0.8690162789021612, 0.8699149030547695, 0.8703306618270364, 0.8702810356228065, 0.8697839395674107, 0.8688576550746018, 0.867520757812285, 0.8657920432342997, 0.8636904508939731]",-0.004627598115784504
0.5,2,"[0.6828967534657918, 0.6971449264341966, 0.7088052398518505, 0.718027595690751, 0.7249752665563056, 0.7298180514784522, 0.7327281462563084, 0.7338773899323313, 0.7334351909353025, 0.7315668056179323, 0.7284318413475096]",-0.005445548584821713
0.5,3,"[0.39781784461028913, 0.44169802391532614, 0.4832432388483831, 0.5186551384079108, 0.5469103758955363, 0.5683831244179023, 0.5838915590470187, 0.5943144746099011, 0.6004706063501994, 0.6030894905107376, 0.6028099930383728]",-0.00027949747236477585
0.5,4,"[0.17787740446624523, 0.18907686595144946, 0.21061011799345516, 0.24760132108619579, 0.30276836236589716, 0.36373529221570616, 0.4135350891512098, 0.44867579156825277, 0.47186740834852664, 0.4861416105484935, 0.4938513038046718]",0.0
0.5,5,"[0.1059893387399249, 0.10457828662299705, 0.10826789116828978, 0.11799440292223484, 0.13632786499872782, 0.16934789188405833, 0.2262459482882824, 0.29641399712627725, 0.3504295675003353, 0.3844376378055768, 0.4044531301943924]",0.0014110521169278523
0.5,6,"[0.06976948568283071, 0.06403433103775923, 0.06329207064090515, 0.06715795904542779, 0.07603970761199992, 0.09158937274504207, 0.11833744669155218, 0.16752327101694778, 0.24032006009071324, 0.29879530555288625, 0.333506380947454]",0.0064774150419255605
0.5,7,"[0.045016520053539434, 0.03721091800609624, 0.03475352461820797, 0.03609079631278419, 0.04115175670070401, 0.051133845329594946, 0.06867800112656332, 0.09892743915379175, 0.15442930151634038, 0.22821403971254142, 0.2779075377703632]",0.010262995435331462
0.5,8,"[0.02833517593449075, 0.021181269386892528, 0.018822566520732765, 0.019014823658104793, 0.021400536321746183, 0.02677728729544308, 0.03755377561094438, 0.059058583651752664, 0.1003726637679251, 0.17155961507824097, 0.2342883372328949]",0.009512609413757984
0.5,9,"[0.018215207747517947, 0.01268421165843463, 0.010916131676105391, 0.010776456517531008, 0.011866063111802973, 0.014545894994551497, 0.020223618340904314, 0.03304745872464985, 0.06411368548008091, 0.12795561746347303, 0.1997820197914284]",0.00743875122998694
0.5,10,"[0.012282298853348255, 0.008160525470315655, 0.006884516169298075, 0.006684021169449107, 0.007218088729468168, 0.008633298581283684, 0.011657784339976293, 0.018668221155212772, 0.038430140545098745, 0.09466936095662533, 0.17217126575218764]",0.005598277683899149
1.0,1,"[0.9143952828123169, 0.9059957174741008, 0.897251791806103, 0.8881891095927871, 0.8788339250213507, 0.8692129627752787, 0.8593532415382146, 0.8492819020740637, 0.8390260408435333, 0.8286125499844481, 0.818067964415255]",0.0
1.0,2,"[0.8119090777218179, 0.7984585809699305, 0.7837054724768001, 0.767851535558423, 0.751105995676286, 0.7336794315228, 0.7157779262099131, 0.6975977289131308, 0.679320672168423, 0.6611105465391897, 0.6431105680741943]",0.0
1.0,3,"[0.6828967534657918, 0.6682668684314214, 0.6511392148004741, 0.6321801329585626, 0.6120491906664454, 0.5913529445794002, 0.5706106235812546, 0.5502351994675088, 0.5305297875586442, 0.5116962520715842, 0.4938513038046718]",0.0
1.0,4,"[0.5072609648798201, 0.49507465731388195, 0.48118049324660533, 0.4666778180169807, 0.4523053750749563, 0.4384536910820177, 0.42526868670640605, 0.4127636599746344, 0.40089837516813676, 0.3896213975751383, 0.3788871265415092]",0.0
