a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356636
0.0,8.44,0.5686224951439892
0.0,12.66,0.4408752593263853
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874387
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110435
0.0,33.75,0.213889356937502
0.0,37.97,0.19463130799995418
0.0,42.19,0.17865447216724292
4.22,0.0,0.7743326972356636
4.22,4.22,0.5027904241565401
4.22,8.44,0.2538219149577281
4.22,12.66,0.15440659374030768
4.22,16.88,0.10937937821394916
4.22,21.09,0.08338041072133329
4.22,25.31,0.06555930205002167
4.22,29.53,0.052270231912546594
4.22,33.75,0.04213702580523981
4.22,37.97,0.03440452291808774
4.22,42.19,0.028500467061035865
8.44,0.0,0.5686224951439891
8.44,4.22,0.25382191495772827
8.44,8.44,0.1175729639207463
8.44,12.66,0.07330196821504549
8.44,16.88,0.04907832749896341
8.44,21.09,0.03400026674612608
8.44,25.31,0.02458485640624027
8.44,29.53,0.018592590816042243
8.44,33.75,0.014631871890234615
8.44,37.97,0.011900771442356118
8.44,42.19,0.009941406843699036
12.66,0.0,0.4408752593263855
12.66,4.22,0.15440659374031282
12.66,8.44,0.07330196821687955
12.66,12.66,0.04195371874890315
12.66,16.88,0.025905859567889197
12.66,21.09,0.017460928916875704
12.66,25.31,0.012692639650401936
12.66,29.53,0.009773086858978179
12.66,33.75,0.007854794250735847
12.66,37.97,0.006520263923322106
12.66,42.19,0.0055484822262405675
16.88,0.0,0.3611335247983081
16.88,4.22,0.10937937821413939
16.88,8.44,0.04907832749911656
16.88,12.66,0.02590585956918676
16.88,16.88,0.015816555161417774
16.88,21.09,0.01084914071199
16.88,25.31,0.008066486676664654
16.88,29.53,0.006341295592043967
16.88,33.75,0.005187265705334998
16.88,37.97,0.004369686636209724
16.88,42.19,0.003764243960059337
21.09,0.0,0.30696653823874387
21.09,4.22,0.08338041072032981
21.09,8.44,0.034000266745597134
21.09,12.66,0.01746092891747384
21.09,16.88,0.010849140711867196
21.09,21.09,0.007614300057070134
21.09,25.31,0.005774141174997466
21.09,29.53,0.004611591153313654
21.09,33.75,0.0038201367081480034
21.09,37.97,0.0032507561536339103
21.09,42.19,0.002823530224955577
25.31,0.0,0.26761376584393937
25.31,4.22,0.06555930205025798
25.31,8.44,0.024584856406317003
25.31,12.66,0.012692639650242851
25.31,16.88,0.008066486676623559
25.31,21.09,0.0057741411749830185
25.31,25.31,0.004446045981880915
25.31,29.53,0.0035927316311023683
25.31,33.75,0.0030034163147466164
25.31,37.97,0.002574349132304892
25.31,42.19,0.002249163575786889
29.53,0.0,0.23760459314110435
29.53,4.22,0.052270231912091326
29.53,8.44,0.01859259081548135
29.53,12.66,0.009773086858946716
29.53,16.88,0.006341295591852776
29.53,21.09,0.0046115911533642215
29.53,25.31,0.0035927316311131236
29.53,29.53,0.002928950661237582
29.53,33.75,0.0024652897670085507
29.53,37.97,0.0021245441068977666
29.53,42.19,0.001864291885655052
33.75,0.0,0.21388935693750216
33.75,4.22,0.04213702580504476
33.75,8.44,0.01463187189000024
33.75,12.66,0.007854794250653496
33.75,16.88,0.005187265705243336
33.75,21.09,0.0038201367081985706
33.75,25.31,0.003003416314817892
33.75,29.53,0.0024652897669058113
33.75,33.75,0.0020859795064282066
33.75,37.97,0.0018051612567929734
33.75,42.19,0.0015893712884614418
37.97,0.0,0.194631307999954
37.97,4.22,0.03440452291552632
37.97,8.44,0.011900771442645714
37.97,12.66,0.006520263923484884
37.97,16.88,0.004369686636295126
37.97,21.09,0.0032507561536754877
37.97,25.31,0.002574349132226553
37.97,29.53,0.002124544106855708
37.97,33.75,0.00180516125682524
37.97,37.97,0.0015673056983618074
37.97,42.19,0.0013836362552868704
42.19,0.0,0.17865447216724
42.19,4.22,0.028500467061367676
42.19,8.44,0.00994140684353995
42.19,12.66,0.005548482226245705
42.19,16.88,0.003764243959965428
42.19,21.09,0.002823530224942735
42.19,25.31,0.0022491635757952363
42.19,29.53,0.001864291885642049
42.19,33.75,0.0015893712884550203
42.19,37.97,0.001383636255352206
42.19,42.19,0.0012241369331836911
