a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,4.22,0.7743326972356636
0.0,8.44,0.5686224951439891
0.0,12.66,0.4408752593263852
0.0,16.88,0.3611335247983081
0.0,21.09,0.30696653823874404
0.0,25.31,0.26761376584393937
0.0,29.53,0.23760459314110435
0.0,33.75,0.21388935693750216
0.0,37.97,0.1946313079999553
0.0,42.19,0.1786544721672413
0.14,0.0,0.9584359124428965
0.14,4.22,0.7253907105568601
0.14,8.44,0.5059827619013304
0.14,12.66,0.369582351213396
0.14,16.88,0.2823900949359267
0.14,21.09,0.21902615558127586
0.14,25.31,0.003547481806281593
0.14,29.53,0.0023141954401421096
0.14,33.75,0.0017174534436391689
0.14,37.97,0.0013601856557492855
0.14,42.19,0.0011228323852741794
0.27,0.0,0.9082031378002645
0.27,4.22,0.6604333820268119
0.27,8.44,0.4006406879300945
0.27,12.66,0.0027709722470842337
0.27,16.88,0.0015642865153396902
0.27,21.09,0.0010667198424136007
0.27,25.31,0.0008023142441862247
0.27,29.53,0.0006402606948867601
0.27,33.75,0.0005314572021247461
0.27,37.97,0.00045364696501235826
0.27,42.19,0.0003953714140010702
0.41,0.0,0.8443716211361544
0.41,4.22,0.5537965492160761
0.41,8.44,0.002442032331049125
0.41,12.66,0.0012113625147640865
0.41,16.88,0.0007817029436734394
0.41,21.09,0.0005715307845874662
0.41,25.31,0.0004486172733726466
0.41,29.53,0.00036847499878863354
0.41,33.75,0.0003122764543552663
0.41,37.97,0.00027076710136905263
0.41,42.19,0.0002388924427016179
0.54,0.0,0.754195180495312
0.54,4.22,0.004242353403371781
0.54,8.44,0.0013883507641521008
0.54,12.66,0.0007631239667742569
0.54,16.88,0.0005168724507002133
0.54,21.09,0.00038848806809913
0.54,25.31,0.000310411553056532
0.54,29.53,0.00025813749711080323
0.54,33.75,0.00022077197124802588
0.54,37.97,0.00019276936972315394
0.54,42.19,0.0001710200424912079
0.68,0.0,0.30513207308396906
0.68,4.22,0.0025817155425847853
0.68,8.44,0.000956159773484944
0.68,12.66,0.0005541286461345704
0.68,16.88,0.0003851441347028997
0.68,21.09,0.00029388243526218646
0.68,25.31,0.00023714626085717536
0.68,29.53,0.00019858300763200143
0.68,33.75,0.00017071359788934192
0.68,37.97,0.00014965224700679448
0.68,42.19,0.00013318609765898223
0.81,0.0,0.02812716205015833
0.81,4.22,0.0018028935803949086
0.81,8.44,0.0007249503873811135
0.81,12.66,0.000434147630183164
0.81,16.88,0.0003066930081284361
0.81,21.09,0.00023626940843536886
0.81,25.31,0.0001918564306993465
0.81,29.53,0.0001613712318742594
0.81,33.75,0.0001391815046793499
0.81,37.97,0.0001223207170949844
0.81,42.19,0.0001090819596521389
0.95,0.0,0.020458019968917603
0.95,4.22,0.0013686079485274536
0.95,8.44,0.0005821585271541852
0.95,12.66,0.00035657609059399487
0.95,16.88,0.00025473584303631043
0.95,21.09,0.00019754590891093345
0.95,25.31,0.00016111105866670525
0.95,29.53,0.00013592782779894646
0.95,33.75,0.00011750450390893946
0.95,37.97,0.00010345174258548676
0.95,42.19,9.238443432617296e-05
1.08,0.0,0.015340078509768219
1.08,4.22,0.001096415292809233
1.08,8.44,0.0004856016846956352
1.08,12.66,0.00030238800794679806
1.08,16.88,0.00021781537735620564
1.08,21.09,0.00016973883697404696
1.08,25.31,0.0001388757276725772
1.08,29.53,0.00011743246172264163
1.08,33.75,0.0001016859510583672
1.08,37.97,8.964060167951654e-05
1.08,42.19,8.013294485247494e-05
1.22,0.0,0.01189455185138752
1.22,4.22,0.0009115920392418266
1.22,8.44,0.00041610153114435603
1.22,12.66,0.00026241647903057857
1.22,16.88,0.00019023138218682804
1.22,21.09,0.00014880036166124822
1.22,25.31,0.00012204386846197434
1.22,29.53,0.00010337815661741095
1.22,33.75,8.963099833610814e-05
1.22,37.97,7.909169085327452e-05
1.22,42.19,7.075832335620664e-05
1.36,0.0,0.009518885265914176
1.36,4.22,0.0007786329298671738
1.36,8.44,0.0003637480028534517
1.36,12.66,0.0002317189837059885
1.36,16.88,0.0001688362965252013
1.36,21.09,0.00013246130555002734
1.36,25.31,0.00010885567961167381
1.36,29.53,9.233384514886283e-05
1.36,33.75,8.013680285982194e-05
1.36,37.97,7.076919999568444e-05
1.36,42.19,6.335197286420397e-05
