a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.14,0.9584359124428964
0.0,0.27,0.9082031378002648
0.0,0.41,0.8443716211361537
0.0,0.54,0.754195180495312
0.0,0.68,0.3051324003200973
0.0,0.81,0.028127162004599745
0.0,0.95,0.020458019914409636
0.0,1.08,0.015340078465353733
0.0,1.22,0.01189455179067089
0.0,1.36,0.009518885226280114
0.14,0.0,0.9584359124428964
0.14,0.14,0.9183176865016602
0.14,0.27,0.869006563264335
0.14,0.41,0.8046978881761206
0.14,0.54,0.7085080387275542
0.14,0.68,0.00025247251322835706
0.14,0.81,0.0001696188963074921
0.14,0.95,0.00012063676129659536
0.14,1.08,9.187053262555911e-05
0.14,1.22,7.361097103968355e-05
0.14,1.36,6.117928440685487e-05
0.27,0.0,0.9082031378002648
0.27,0.14,0.869006563264335
0.27,0.27,0.8198528182845232
0.27,0.41,0.7533663322463439
0.27,0.54,0.6424502445077537
0.27,0.68,0.00010800816666545379
0.27,0.81,7.206659116167518e-05
0.27,0.95,5.246417204901376e-05
0.27,1.08,4.08550085078974e-05
0.27,1.22,3.331633099111076e-05
0.27,1.36,2.8070474867608073e-05
0.41,0.0,0.8443716211361544
0.41,0.14,0.8046978881761206
0.41,0.27,0.7533663322463438
0.41,0.41,0.6787613975623134
0.41,0.54,9.871207671819373e-05
0.41,0.68,6.20426860736903e-05
0.41,0.81,4.252226536944245e-05
0.41,0.95,3.1806371873999395e-05
0.41,1.08,2.5238831320345832e-05
0.41,1.22,2.0855725124135913e-05
0.41,1.36,1.774226513241217e-05
0.54,0.0,0.7541951804953126
0.54,0.14,0.7085080387275542
0.54,0.27,0.6424502445077533
0.54,0.41,9.871207672541759e-05
0.54,0.54,6.110976788471747e-05
0.54,0.68,4.010930090676578e-05
0.54,0.81,2.8759138747681662e-05
0.54,0.95,2.210222071429381e-05
0.54,1.08,1.783662700169415e-05
0.54,1.22,1.4905820499380326e-05
0.54,1.36,1.2781839576279425e-05
0.68,0.0,0.30513239867975195
0.68,0.14,0.0002524725132378283
0.68,0.27,0.00010800816666368796
0.68,0.41,6.204268607417188e-05
0.68,0.54,4.010930090837108e-05
0.68,0.68,2.8120988741406974e-05
0.68,0.81,2.103937231109872e-05
0.68,0.95,1.657300137002456e-05
0.68,1.08,1.3578057773989476e-05
0.68,1.22,1.1460067459973253e-05
0.68,1.36,9.8951429818907e-06
0.81,0.0,0.02812716200548266
0.81,0.14,0.0001696188963012314
0.81,0.27,7.206659116247783e-05
0.81,0.41,4.252226536912139e-05
0.81,0.54,2.8759138745915836e-05
0.81,0.68,2.103937231093819e-05
0.81,0.81,1.624021861634827e-05
0.81,0.95,1.3056676242173793e-05
0.81,1.08,1.0839197221243962e-05
0.81,1.22,9.229287467575813e-06
0.81,1.36,8.018004027100553e-06
0.95,0.0,0.020458019915997917
0.95,0.14,0.00012063676129563217
0.95,0.27,5.2464172049816415e-05
0.95,0.41,3.180637187496257e-05
0.95,0.54,2.210222071461487e-05
0.95,0.68,1.657300137082721e-05
0.95,0.81,1.3056676241692204e-05
0.95,0.95,1.0659865262925693e-05
0.95,1.08,8.94656685813307e-06
0.95,1.22,7.67629162268164e-06
0.95,1.36,6.705301209816777e-06
1.08,0.0,0.015340078465825052
1.08,0.14,9.187053263198031e-05
1.08,0.27,4.0855008508539516e-05
1.08,0.41,2.523883132066689e-05
1.08,0.54,1.783662700185468e-05
1.08,0.68,1.3578057773828947e-05
1.08,0.81,1.0839197221243962e-05
1.08,0.95,8.94656685797254e-06
1.08,1.08,7.5728350636641945e-06
1.08,1.22,6.539296308934729e-06
1.08,1.36,5.739343779259377e-06
1.22,0.0,0.011894551791129363
1.22,0.14,7.361097104385734e-05
1.22,0.27,3.331633099127129e-05
1.22,0.41,2.0855725123975384e-05
1.22,0.54,1.4905820499380326e-05
1.22,0.68,1.1460067459973253e-05
1.22,0.81,9.229287467896874e-06
1.22,0.95,7.676291622842171e-06
1.22,1.08,6.5392963090952585e-06
1.22,1.22,5.675872577247294e-06
1.22,1.36,5.001585783272456e-06
1.36,0.0,0.00951888522564265
1.36,0.14,6.117928440557062e-05
1.36,0.27,2.8070474867768602e-05
1.36,0.41,1.774226513241217e-05
1.36,0.54,1.2781839576279425e-05
1.36,0.68,9.89514298173017e-06
1.36,0.81,8.018004027261082e-06
1.36,0.95,6.705301209816777e-06
1.36,1.08,5.739343779259377e-06
1.36,1.22,5.001585783432987e-06
1.36,1.36,4.421958785611776e-06
