a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177234
0.0,2.11,0.4927407066869598
0.0,3.16,0.4003981903440512
0.0,4.22,0.3388157969919568
0.0,5.27,0.29439535450604176
0.0,6.33,0.260658268271272
0.0,7.38,0.23407651584247208
0.0,8.44,0.21254588501929475
0.0,9.49,0.19472553174302068
0.0,10.55,0.17971677007529763
0.14,0.0,0.9584359124428964
0.14,1.05,0.6061936594688254
0.14,2.11,0.4412102939712495
0.14,3.16,0.3424442727123698
0.14,4.22,0.2740937310800516
0.14,5.27,0.22171043667520665
0.14,6.33,0.004219599561733992
0.14,7.38,0.0025836076435685126
0.14,8.44,0.0018837998787443724
0.14,9.49,0.0014780811636532839
0.14,10.55,0.0012130116121777865
0.27,0.0,0.9082031378002648
0.27,1.05,0.5444708406027344
0.27,2.11,0.35240673952292184
0.27,3.16,0.0027822333698935948
0.27,4.22,0.001597045545873646
0.27,5.27,0.0010980303292464238
0.27,6.33,0.0008297438216636608
0.27,7.38,0.0006641440589964117
0.27,8.44,0.0005524357928588664
0.27,9.49,0.00047228050848751473
0.27,10.55,0.00041209789222513123
0.41,0.0,0.844371621136154
0.41,1.05,0.41928821355139206
0.41,2.11,0.0022870091667616774
0.41,3.16,0.0011913823939506013
0.41,4.22,0.0007851989670086586
0.41,5.27,0.0005804789335301623
0.41,6.33,0.00045870952796447917
0.41,7.38,0.00037845792802334996
0.41,8.44,0.00032176765404237
0.41,9.49,0.00027967062516569074
0.41,10.55,0.00024721294437162394
0.54,0.0,0.7541951804953123
0.54,1.05,0.00369038710188843
0.54,2.11,0.0013086147374645083
0.54,3.16,0.0007497779216183491
0.54,4.22,0.0005177851095642911
0.54,5.27,0.0003933826804360815
0.54,6.33,0.00031645025057231265
0.54,7.38,0.00026437587676096224
0.54,8.44,0.0002268669880072409
0.54,9.49,0.00019859764892965324
0.54,10.55,0.0001765455901306091
0.68,0.0,0.3051323996605947
0.68,1.05,0.0022894660039506115
0.68,2.11,0.0009089259327504323
0.68,3.16,0.0005456046552681662
0.68,4.22,0.00038592057736119986
0.68,5.27,0.00029745469085399
0.68,6.33,0.00024158450673551643
0.68,7.38,0.00020320877993250077
0.68,8.44,0.0001752670215786938
0.68,9.49,0.00015403307828529899
0.68,10.55,0.00013736025920993954
0.81,0.0,0.028127162004505993
0.81,1.05,0.0016353700810603456
0.81,2.11,0.0006945316883130045
0.81,3.16,0.00042863470606038296
0.81,4.22,0.00030762905695566557
0.81,5.27,0.00023922244033913544
0.81,6.33,0.0001954481782852521
0.81,7.38,0.0001651016695100477
0.81,8.44,0.00014285443197310755
0.81,9.49,0.00012585874794172067
0.81,10.55,0.00011245798593334759
0.95,0.0,0.020458019914819627
0.95,1.05,0.0012647866426177183
0.95,2.11,0.0005615588084093355
0.95,3.16,0.00035298990145108175
0.95,4.22,0.0002558192953485213
0.95,5.27,0.00020012724433697226
0.95,6.33,0.00016416711161666708
0.95,7.38,0.00013907917959920092
0.95,8.44,0.00012060031221282045
0.95,9.49,0.00010643217227873242
0.95,10.55,9.522866407485094e-05
1.08,0.0,0.015340078463542474
1.08,1.05,0.0010286137875184455
1.08,2.11,0.0004712380598270753
1.08,3.16,0.00030009134548176375
1.08,4.22,0.00021900023444277182
1.08,5.27,0.00017206086589221286
1.08,6.33,0.00014155410929849084
1.08,7.38,0.00012017253035260202
1.08,8.44,0.0001043696226616746
1.08,9.49,9.222114118773613e-05
1.08,10.55,8.259449484288825e-05
1.22,0.0,0.0118945517922855
1.22,1.05,0.0008657784550068575
1.22,2.11,0.0004059473991816986
1.22,3.16,0.00026102303723468803
1.22,4.22,0.00019148179813933183
1.22,5.27,0.0001509261866404293
1.22,6.33,0.00012443820646349793
1.22,7.38,0.00010580844915256245
1.22,8.44,9.200358946334258e-05
1.22,9.49,8.136979496522971e-05
1.22,10.55,7.292995535373933e-05
1.36,0.0,0.009518885224041202
1.36,1.05,0.0007470270373379598
1.36,2.11,0.0003565656816099452
1.36,3.16,0.00023098424367014645
1.36,4.22,0.00017012918207457936
1.36,5.27,0.00013443215515033976
1.36,6.33,0.00011102764799345371
1.36,7.38,9.452163797294903e-05
1.36,8.44,8.226560968181848e-05
1.36,9.49,7.28100128137991e-05
1.36,10.55,6.529588691819562e-05
