a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9587148981459142
0.0,1.73,0.9140940986733357
0.0,2.59,0.8667488040636379
0.0,3.46,0.8177498225687075
0.0,4.32,0.768533131978941
0.0,5.19,0.7206251209730081
0.0,6.05,0.6753059046210846
0.0,6.91,0.6333931347047124
0.0,7.78,0.5952243138196045
0.0,8.64,0.5607737790576987
0.19,0.0,0.9724276253832475
0.19,0.86,0.9309817852854765
0.19,1.73,0.8858325594608348
0.19,2.59,0.8375229492796078
0.19,3.46,0.7871244685682324
0.19,4.32,0.7361722510212418
0.19,5.19,0.6863692569973542
0.19,6.05,0.6391807105373671
0.19,6.91,0.5955537561662118
0.19,7.78,0.5558814293152033
0.19,8.64,0.5201385293807064
0.38,0.0,0.9413637596741463
0.38,0.86,0.8995401913563484
0.38,1.73,0.8535447668727003
0.38,2.59,0.8038065273694185
0.38,3.46,0.7513585079100875
0.38,4.32,0.6978244857702623
0.38,5.19,0.6451109921354012
0.38,6.05,0.5949137540927926
0.38,6.91,0.5483437690732016
0.38,7.78,0.5058593621395596
0.38,8.64,0.4674247495076921
0.58,0.0,0.9057967597892748
0.58,0.86,0.8632074221434218
0.58,1.73,0.8157911576845819
0.58,2.59,0.7637604427905795
0.58,3.46,0.707989891066866
0.58,4.32,0.6500842125318994
0.58,5.19,0.5920725789565982
0.58,6.05,0.5357855307321429
0.58,6.91,0.48229449090511295
0.58,7.78,0.43167747169006443
0.58,8.64,0.38289790858791023
0.77,0.0,0.8641218023326777
0.77,0.86,0.8200163650507859
0.77,1.73,0.7700195047220779
0.77,2.59,0.7138257367986957
0.77,3.46,0.6516470610292573
0.77,4.32,0.5841972955056751
0.77,5.19,0.5117545100854428
0.77,6.05,0.4296989416075068
0.77,6.91,0.01766358150943061
0.77,7.78,0.014264322116371375
0.77,8.64,0.011654410549608005
0.96,0.0,0.8134945820481508
0.96,0.86,0.7662016199249211
0.96,1.73,0.7107647294060596
0.96,2.59,0.6449327278749996
0.96,3.46,0.563845638348824
0.96,4.32,0.4164167705502009
0.96,5.19,0.01753154046804281
0.96,6.05,0.01357867121930068
0.96,6.91,0.010729868288294059
0.96,7.78,0.008687609982738799
0.96,8.64,0.007198078589011292
1.15,0.0,0.7478432665878736
1.15,0.86,0.692401055020504
1.15,1.73,0.62019078298748
1.15,2.59,0.4869640386657843
1.15,3.46,0.021642322988068417
1.15,4.32,0.01579644976665528
1.15,5.19,0.011844306717976377
1.15,6.05,0.009172658379671036
1.15,6.91,0.007327843142342578
1.15,7.78,0.0060162740349682595
1.15,8.64,0.005055205538423082
1.34,0.0,0.6477357980813824
1.34,0.86,0.5430271058746885
1.34,1.73,0.036691655389344796
1.34,2.59,0.02314392466713454
1.34,3.46,0.015809280693104357
1.34,4.32,0.011384372828815029
1.34,5.19,0.008577259460109567
1.34,6.05,0.00671885156163838
1.34,6.91,0.005437332196859256
1.34,7.78,0.0045197853934023785
1.34,8.64,0.003840521976261807
1.54,0.0,0.14091671926932695
1.54,0.86,0.05584956744183687
1.54,1.73,0.028641972328422024
1.54,2.59,0.01762021975276677
1.54,3.46,0.011931626131605238
1.54,4.32,0.008636190699583674
1.54,5.19,0.006578144994948205
1.54,6.05,0.00521565288683452
1.54,6.91,0.004269271324423316
1.54,7.78,0.0035849453642930137
1.54,8.64,0.0030730578620432685
1.73,0.0,0.10585349837079928
1.73,0.86,0.04451188317866135
1.73,1.73,0.022584331442861857
1.73,2.59,0.013763163010600368
1.73,3.46,0.0093532722013911
1.73,4.32,0.006837270792445711
1.73,5.19,0.0052677136996578215
1.73,6.05,0.004222117151198519
1.73,6.91,0.0034891970894489126
1.73,7.78,0.002954045620465101
1.73,8.64,0.002549995270587828
1.92,0.0,0.08711443110607574
1.92,0.86,0.03624573165743659
1.92,1.73,0.018138010549056966
1.92,2.59,0.011057391300116666
1.92,3.46,0.007577454122307826
1.92,4.32,0.005598522780104396
1.92,5.19,0.004358497862953822
1.92,6.05,0.003525891594142941
1.92,6.91,0.002937042467926782
1.92,7.78,0.0025033025936477
1.92,8.64,0.002173157346901412
