a1,a2,growth
0.0,0.0,1.0
0.0,0.09,0.972587495663033
0.0,0.18,0.9416669003157514
0.0,0.28,0.9061892012849132
0.0,0.37,0.8644580232500639
0.0,0.46,0.8133681950409433
0.0,0.55,0.7458489490524478
0.0,0.64,0.6338825279948684
0.0,0.74,0.034149841217713035
0.0,0.83,0.02714482494926612
0.0,0.92,0.021846977459164245
0.19,0.0,0.9724276253832471
0.19,0.09,0.9457291863157121
0.19,0.18,0.9154067587977719
0.19,0.28,0.8803183405250427
0.19,0.37,0.8385746408258655
0.19,0.46,0.7865811787239414
0.19,0.55,0.7154664059056488
0.19,0.64,0.5731567437908559
0.19,0.74,0.0010815362358699227
0.19,0.83,0.0008383880985841933
0.19,0.92,0.0006619657069538799
0.38,0.0,0.9413637596741463
0.38,0.09,0.9152596364137152
0.38,0.18,0.885398365593364
0.38,0.28,0.850513278730207
0.38,0.37,0.8084426671107554
0.38,0.46,0.754846415418902
0.38,0.55,0.6776148898275387
0.38,0.64,0.0006236692067138151
0.38,0.74,0.00047924046869562064
0.38,0.83,0.00036810432607637457
0.38,0.92,0.0002928713895201677
0.58,0.0,0.9057967597892748
0.58,0.09,0.8800741225299298
0.58,0.18,0.8504124208427648
0.58,0.28,0.8153628704945245
0.58,0.37,0.7723374076945883
0.58,0.46,0.7156912075752078
0.58,0.55,0.6256984864341487
0.58,0.64,0.0003855711535207243
0.58,0.74,0.000289279728658682
0.58,0.83,0.0002232998505457599
0.58,0.92,0.0001796242122321911
0.77,0.0,0.8641218023326777
0.77,0.09,0.8383791666920334
0.77,0.18,0.8083894817920952
0.77,0.28,0.7723914625546733
0.77,0.37,0.7269922581098361
0.77,0.46,0.6635764831153358
0.77,0.55,0.5076808272445926
0.77,0.64,0.0002643620757590131
0.77,0.74,0.00019754650319645894
0.77,0.83,0.00015454414671957557
0.77,0.92,0.00012587873600763383
0.96,0.0,0.8134945820481508
0.96,0.09,0.7868717717170254
0.96,0.18,0.7553295670997393
0.96,0.28,0.7163815601228303
0.96,0.37,0.6644047927048079
0.96,0.46,0.577170257646424
0.96,0.55,0.0002599005481571376
0.96,0.64,0.00019021288965619633
0.96,0.74,0.00014464127710071907
0.96,0.83,0.00011511806175506827
0.96,0.92,9.497604243085894e-05
1.15,0.0,0.7478432665878735
1.15,0.09,0.7179465644741039
1.15,0.18,0.6809154859925495
1.15,0.28,0.6308505486232093
1.15,0.37,0.5377369846233472
1.15,0.46,0.00026261281332636525
1.15,0.55,0.00019049496145609042
1.15,0.64,0.0001422880705555019
1.15,0.74,0.00011099180017585243
1.15,0.83,8.994423222005486e-05
1.15,0.92,7.51393473485988e-05
1.34,0.0,0.6477357980813827
1.34,0.09,0.6004141581630382
1.34,0.18,0.4597684453449546
1.34,0.28,0.00040494318911188777
1.34,0.37,0.0002723417639392864
1.34,0.46,0.00019306205313483814
1.34,0.55,0.00014305404448673763
1.34,0.64,0.00011035554855174757
1.34,0.74,8.822542042566354e-05
1.34,0.83,7.271425450843365e-05
1.34,0.92,6.145848454403756e-05
1.54,0.0,0.14091671927278843
1.54,0.09,0.0014266237800487566
1.54,0.18,0.000522451991347426
1.54,0.28,0.0003036953630247744
1.54,0.37,0.00020313692081994148
1.54,0.46,0.0001468814863344884
1.54,0.55,0.00011184486153402521
1.54,0.64,8.848270584767315e-05
1.54,0.74,7.215744862727107e-05
1.54,0.83,6.034232060569719e-05
1.54,0.92,5.153720018852339e-05
1.73,0.0,0.10585349837042654
1.73,0.09,0.0010380185211347971
1.73,0.18,0.00039865588938572683
1.73,0.28,0.00023321504446434564
1.73,0.37,0.0001585342130232395
1.73,0.46,0.00011686971464353621
1.73,0.55,9.072644696144775e-05
1.73,0.64,7.304353886690216e-05
1.73,0.74,6.0451302731639474e-05
1.73,0.83,5.114674994403487e-05
1.73,0.92,4.4074793499833445e-05
1.92,0.0,0.0871144311024293
1.92,0.09,0.0008010820692141239
1.92,0.18,0.0003146751355606809
1.92,0.28,0.00018680606747469193
1.92,0.37,0.00012888771334590175
1.92,0.46,9.638259268418924e-05
1.92,0.55,7.582780256163188e-05
1.92,0.64,6.179422513246134e-05
1.92,0.74,5.1689637235004624e-05
1.92,0.83,4.4128724173836106e-05
1.92,0.92,3.830578703945282e-05
