a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.29,0.9564377777954748
0.0,0.59,0.9034508068154676
0.0,0.88,0.8355313739766216
0.0,1.18,0.7382028913512029
0.0,1.47,0.29060654853312384
0.0,1.76,0.10171193460166507
0.0,2.06,0.07766655028728373
0.0,2.35,0.06282960007366968
0.0,2.64,0.052089030228256984
0.0,2.94,0.04376408631021844
0.29,0.0,0.9564377777954748
0.29,0.29,0.9144082281994245
0.29,0.59,0.8623198178195589
0.29,0.88,0.7935536013395988
0.29,1.18,0.6880284371370531
0.29,1.47,0.002694478036756104
0.29,1.76,0.0018239598696146316
0.29,2.06,0.0012852456215653096
0.29,2.35,0.0009704124436782726
0.29,2.64,0.0007720457626891464
0.29,2.94,0.0006379532558479973
0.59,0.0,0.9034508068154676
0.59,0.29,0.8623198178195589
0.59,0.59,0.810181873486888
0.59,0.88,0.7383321808541858
0.59,1.18,0.6107014604708354
0.59,1.47,0.0010979979111581145
0.59,1.76,0.0007298348608532339
0.59,2.06,0.0005317793479961562
0.59,2.35,0.0004142789693192654
0.59,2.64,0.00033782993169146556
0.59,2.94,0.00028456771475191017
0.88,0.0,0.8355313739766216
0.88,0.29,0.7935536013395992
0.88,0.59,0.7383321808541855
0.88,0.88,0.6548196105919724
0.88,1.18,0.0009700177150551281
0.88,1.47,0.0006141708839778255
0.88,1.76,0.0004235807229513973
0.88,2.06,0.00031829371046998534
0.88,2.35,0.00025328450468209055
0.88,2.64,0.00020967075456565208
0.88,2.94,0.000178577731699792
1.18,0.0,0.7382028913512032
1.18,0.29,0.6880284371370528
1.18,0.59,0.6107014604708351
1.18,0.88,0.000970017715060586
1.18,1.18,0.0005983268610075235
1.18,1.47,0.0003948948280219479
1.18,1.76,0.0002852429767925983
1.18,2.06,0.00022031752641553032
1.18,2.35,0.00017838709923354023
1.18,2.64,0.00014941298522085718
1.18,2.94,0.0001283275887875503
1.47,0.0,0.2906065484374868
1.47,0.29,0.002694478036835245
1.47,0.59,0.0010979979111356403
1.47,0.88,0.0006141708839709229
1.47,1.18,0.0003948948280306165
1.47,1.47,0.00027773771260549107
1.47,1.76,0.0002087823271549322
1.47,2.06,0.00016511907408647733
1.47,2.35,0.00013568627203188166
1.47,2.64,0.00011477500853549071
1.47,2.94,9.926605743448784e-05
1.76,0.0,0.10171193460179448
1.76,0.29,0.0018239598696440085
1.76,0.59,0.0007298348608561234
1.76,0.88,0.00042358072294658146
1.76,1.18,0.0002852429767890667
1.76,1.47,0.00020878232716536665
1.76,1.76,0.00016153576595490218
1.76,2.06,0.0001302165889217753
1.76,2.35,0.0001083571881772319
1.76,2.64,9.24413326717215e-05
1.76,2.94,8.043221052944802e-05
2.06,0.0,0.0776665502863321
2.06,0.29,0.0012852456215662728
2.06,0.59,0.0005317793479892535
2.06,0.88,0.00031829371046597206
2.06,1.18,0.00022031752641922252
2.06,1.47,0.00016511907408439045
2.06,1.76,0.00013021658892354115
2.06,2.06,0.00010648355687894774
2.06,2.35,8.952090808873718e-05
2.06,2.64,7.692932820728198e-05
2.06,2.94,6.728740965288673e-05
2.35,0.0,0.06282960007277247
2.35,0.29,0.0009704124436376585
2.35,0.59,0.0004142789693298604
2.35,0.88,0.0002532845046811274
2.35,1.18,0.0001783870992361087
2.35,1.47,0.00013568627203348695
2.35,1.76,0.0001083571881767503
2.35,2.06,8.952090808857663e-05
2.35,2.35,7.586311141941777e-05
2.35,2.64,6.558649360768084e-05
2.35,2.94,5.762586502907002e-05
2.64,0.0,0.05208903022711177
2.64,0.29,0.0007720457626787119
2.64,0.59,0.00033782993169355243
2.64,0.88,0.00020967075456244146
2.64,1.18,0.00014941298522085718
2.64,1.47,0.000114775008537096
2.64,1.76,9.244133267091885e-05
2.64,2.06,7.692932820712146e-05
2.64,2.35,6.558649360784137e-05
2.64,2.64,5.697642632955061e-05
2.64,2.94,5.025102601455989e-05
2.94,0.0,0.04376408631043933
2.94,0.29,0.0006379532558404524
2.94,0.59,0.0002845677147483785
2.94,0.88,0.00017857773169947097
2.94,1.18,0.00012832758878626607
2.94,1.47,9.926605743368519e-05
2.94,1.76,8.043221052960855e-05
2.94,2.06,6.728740965288673e-05
2.94,2.35,5.762586502907002e-05
2.94,2.64,5.025102601439936e-05
2.94,2.94,4.4457564777068284e-05
