a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,1.05,0.6512145775177237
0.0,2.11,0.49274070668695946
0.0,3.16,0.40039819034405105
0.0,4.22,0.33881579699195663
0.0,5.27,0.29439535450604176
0.0,6.33,0.26065826827127214
0.0,7.38,0.23407651584247224
0.0,8.44,0.21254588501929475
0.0,9.49,0.19472553174301974
0.0,10.55,0.17971677007529652
0.29,0.0,0.9564377777954748
0.29,1.05,0.6038952165103267
0.29,2.11,0.43850245267304605
0.29,3.16,0.33930235732786324
0.29,4.22,0.27044131543890504
0.29,5.27,0.21734629640870853
0.29,6.33,0.01622072330061012
0.29,7.38,0.010113516162530011
0.29,8.44,0.007233198327406524
0.29,9.49,0.005560183534428875
0.29,10.55,0.0044803849832651685
0.59,0.0,0.9034508068154676
0.59,1.05,0.5379750123129132
0.59,2.11,0.34105389367471545
0.59,3.16,0.010954091585761301
0.59,4.22,0.006146276796311496
0.59,5.27,0.0041010809863590144
0.59,6.33,0.0030245696295755713
0.59,7.38,0.0023755040732797703
0.59,8.44,0.0019467357100850316
0.59,9.49,0.0016445335208708758
0.59,10.55,0.0014210571211881798
0.88,0.0,0.8355313739766216
0.88,1.05,0.02853564255353564
0.88,2.11,0.009014430960405037
0.88,3.16,0.0044927619861819795
0.88,4.22,0.002858976649978854
0.88,5.27,0.002063038407658179
0.88,6.33,0.0016023871135802503
0.88,7.38,0.0013051955030279104
0.88,8.44,0.0010987564047430076
0.88,9.49,0.0009475200993899808
0.88,10.55,0.0008322032115209555
1.18,0.0,0.7382028913512025
1.18,1.05,0.014922328879930702
1.18,2.11,0.004984346697037585
1.18,3.16,0.002721653491872839
1.18,4.22,0.0018261843608309198
1.18,5.27,0.001361819392968376
1.18,6.33,0.0010813730519525836
1.18,7.38,0.0008948357252894508
1.18,8.44,0.0007622657579244988
1.18,9.49,0.000663408157930692
1.18,10.55,0.0005869551934854734
1.47,0.0,0.29060654818276965
1.47,1.05,0.009204153197829338
1.47,2.11,0.003357358283645958
1.47,3.16,0.0019319981826850482
1.47,4.22,0.001334630382613616
1.47,5.27,0.0010133918400997604
1.47,6.33,0.0008145793465327217
1.47,7.38,0.0006800058035217186
1.47,8.44,0.0005831032981437281
1.47,9.49,0.0005101028634721679
1.47,10.55,0.0004531851975051479
1.76,0.0,0.10171193460190653
1.76,1.05,0.006422355487225361
1.76,2.11,0.0025078732123211458
1.76,3.16,0.0014922622145211236
1.76,4.22,0.0010498912062058968
1.76,5.27,0.0008062930627470509
1.76,6.33,0.0006531190765189751
1.76,7.38,0.0005482555444347473
1.76,8.44,0.0004721023956943807
1.76,9.49,0.0004143535528117694
1.76,10.55,0.00036908936504726994
2.06,0.0,0.07766655028677356
2.06,1.05,0.004853603191197448
2.06,2.11,0.001993707453687405
2.06,3.16,0.0012139206182317016
2.06,4.22,0.0008648091101336669
2.06,5.27,0.0006693363064087835
2.06,6.33,0.000545050120139918
2.06,7.38,0.000459286337112143
2.06,8.44,0.0003966330420375562
2.06,9.49,0.0003489020834577319
2.06,10.55,0.0003113520605686185
2.35,0.0,0.06282960007288678
2.35,1.05,0.0038698318471621696
2.35,2.11,0.001651474831931886
2.35,3.16,0.0010224770161494443
2.35,4.22,0.0007350517991610337
2.35,5.27,0.0005721247309597182
2.35,6.33,0.0004676796210133091
2.35,7.38,0.0003951850873228526
2.35,8.44,0.0003419934577235382
2.35,9.49,0.00030133292335980433
2.35,10.55,0.00026925840207857836
2.64,0.0,0.05208903022614714
2.64,1.05,0.0032037720874475524
2.64,2.11,0.0014081820943534968
2.64,3.16,0.0008829337526159553
2.64,4.22,0.0006390980601815953
2.64,5.27,0.0004995676704284678
2.64,6.33,0.0004095575945647785
2.64,7.38,0.0003468021391003643
2.64,8.44,0.0003006019541084436
2.64,9.49,0.00026519387154594543
2.64,10.55,0.00023720462449158009
2.94,0.0,0.04376408631114213
2.94,1.05,0.002726434140170155
2.94,2.11,0.0012267077186592884
2.94,3.16,0.0007767816393840463
2.94,4.22,0.0005652795277883837
2.94,5.27,0.0004433440874255091
2.94,6.33,0.00036429324271130284
2.94,7.38,0.0003089835206719805
2.94,8.44,0.00026815701595149977
2.94,9.49,0.00023680304253856672
2.94,10.55,0.00021197778941966936
