a1,a2,growth
0.0,0.0,0.9999999999999997
0.0,0.86,0.9587148981459142
0.0,1.73,0.9140940986733357
0.0,2.59,0.8667488040636379
0.0,3.46,0.8177498225687075
0.0,4.32,0.768533131978941
0.0,5.19,0.7206251209730081
0.0,6.05,0.6753059046210846
0.0,6.91,0.633393134704712
0.0,7.78,0.5952243138196038
0.0,8.64,0.560773779057699
0.15,0.0,0.9303855992232674
0.15,0.86,0.8867603174064281
0.15,1.73,0.8389468480359201
0.15,2.59,0.7874125856067212
0.15,3.46,0.7333229843129477
0.15,4.32,0.6785600832359246
0.15,5.19,0.6253525985742564
0.15,6.05,0.5756358127689626
0.15,6.91,0.530575889057637
0.15,7.78,0.49052610406546004
0.15,8.64,0.4552765079024685
0.29,0.0,0.8688570289922727
0.29,0.86,0.8229093037704117
0.29,1.73,0.7719280902425851
0.29,2.59,0.716236718534029
0.29,3.46,0.6571736781626144
0.29,4.32,0.5973096594555097
0.29,5.19,0.5398954590540317
0.29,6.05,0.4876359727731064
0.29,6.91,0.44183496787067467
0.29,7.78,0.40250694047096813
0.29,8.64,0.3689669808175327
0.44,0.0,0.8150631392559394
0.44,0.86,0.7670229056895572
0.44,1.73,0.7131514606364456
0.44,2.59,0.6536591399080938
0.44,3.46,0.5902064199329861
0.44,4.32,0.5263872254875578
0.44,5.19,0.46672693032348056
0.44,6.05,0.4144602618384504
0.44,6.91,0.3704622066122933
0.44,7.78,0.33398347397620176
0.44,8.64,0.30372459529573637
0.59,0.0,0.768009806595264
0.59,0.86,0.7181514566833285
0.59,1.73,0.6617260167457261
0.59,2.59,0.5988858922637632
0.59,3.46,0.5318213058708413
0.59,4.32,0.46550048408469574
0.59,5.19,0.40570073810313617
0.59,6.05,0.35553934490002753
0.59,6.91,0.3148808933884829
0.59,7.78,0.2820960766343013
0.59,8.64,0.2554180479297502
0.73,0.0,0.7266352192083751
0.73,0.86,0.6752131282164424
0.73,1.73,0.6165513636521635
0.73,2.59,0.5508186389174814
0.73,3.46,0.4809836623978336
0.73,4.32,0.41365450082026023
0.73,5.19,0.3554634132721352
0.73,6.05,0.308642893230981
0.73,6.91,0.27181927527289446
0.73,7.78,0.24268583979959274
0.73,8.64,0.21925245581489639
0.88,0.0,0.6900012772113566
0.88,0.86,0.6372332081350323
0.88,1.73,0.5766137676039315
0.88,2.59,0.5084187162781488
0.88,3.46,0.4366616018796669
0.88,4.32,0.3696783830675333
0.88,5.19,0.3142733317676751
0.88,6.05,0.27125104338596007
0.88,6.91,0.2381397332807299
0.88,7.78,0.21225290256879345
0.88,8.64,0.19156487956330098
1.03,0.0,0.6573307928595182
1.03,0.86,0.603398461678046
1.03,1.73,0.5410612073882508
1.03,2.59,0.47080686336548344
1.03,3.46,0.3979494035124343
1.03,4.32,0.33241640811100026
1.03,5.19,0.28042219322743794
1.03,6.05,0.24116352963016316
1.03,6.91,0.21138592293785624
1.03,7.78,0.18826730055963287
1.03,8.64,0.16985194489353192
1.17,0.0,0.6279939755209659
1.17,0.86,0.5730483978399741
1.17,1.73,0.5092004260268567
1.17,2.59,0.4372665879460539
1.17,3.46,0.3640763408174666
1.17,4.32,0.30080169533304135
1.17,5.19,0.25242329986502254
1.17,6.05,0.2166504108042956
1.17,6.91,0.18976907489772163
1.17,7.78,0.16897805708763314
1.17,8.64,0.15243813022511832
1.32,0.0,0.6014828868412692
1.32,0.86,0.5456502043636269
1.32,1.73,0.48047244636149244
1.32,2.59,0.40721957369619854
1.32,3.46,0.33438524510986
1.32,4.32,0.2738897164607268
1.32,5.19,0.22906327142554742
1.32,6.05,0.19641055743978744
1.32,6.91,0.17201328975160196
1.32,7.78,0.15317586727862442
1.32,8.64,0.1381886108278351
1.46,0.0,0.5773866292288137
1.46,0.86,0.520773154662927
1.46,1.73,0.45442603356604705
1.46,2.59,0.3801972820120487
1.46,3.46,0.30831000284003063
1.46,4.32,0.2508707893863841
1.46,5.19,0.20938508655142396
1.46,6.05,0.17947973137321827
1.46,6.91,0.15720638983703555
1.46,7.78,0.14001313602611748
1.46,8.64,0.12631663695879156
