a1,a2,growth
0.0,0.0,1.0
0.0,0.15,0.930385599223267
0.0,0.29,0.8688570289922727
0.0,0.44,0.8150631392559398
0.0,0.59,0.768009806595264
0.0,0.73,0.7266352192083751
0.0,0.88,0.690001277211357
0.0,1.03,0.6573307928595182
0.0,1.17,0.6279939755209659
0.0,1.32,0.6014828868412688
0.0,1.46,0.577386629228814
0.15,0.0,0.930385599223267
0.15,0.15,0.8589578465061116
0.15,0.29,0.7955140315122485
0.15,0.44,0.7399830799377112
0.15,0.59,0.6914508364703285
0.15,0.73,0.64885692377538
0.15,0.88,0.6112401975360772
0.15,1.03,0.5777953553101921
0.15,1.17,0.547865687440294
0.15,1.32,0.5209192460879529
0.15,1.46,0.4965242372921717
0.29,0.0,0.8688570289922724
0.29,0.15,0.7955140315122482
0.29,0.29,0.7304669445601575
0.29,0.44,0.6737707091747325
0.29,0.59,0.6244740029203899
0.29,0.73,0.5814431262319382
0.29,0.88,0.5436498288278437
0.29,1.03,0.5102354398959595
0.29,1.17,0.4805019251041183
0.29,1.32,0.4538850958017304
0.29,1.46,0.42992758014840715
0.44,0.0,0.8150631392559398
0.44,0.15,0.7399830799377115
0.44,0.29,0.6737707091747328
0.44,0.44,0.6165149997115472
0.44,0.59,0.5671399650123111
0.44,0.73,0.5243783745104217
0.44,0.88,0.48709883163819345
0.44,1.03,0.4543692963215716
0.44,1.17,0.4254401227592739
0.44,1.32,0.39971032029062964
0.44,1.46,0.37669573592015004
0.59,0.0,0.768009806595264
0.59,0.15,0.6914508364703288
0.59,0.29,0.6244740029203899
0.59,0.44,0.5671399650123113
0.59,0.59,0.5181869233086519
0.59,0.73,0.47617449319922495
0.59,0.88,0.4398471055023353
0.59,1.03,0.4081900779161846
0.59,1.17,0.3803995949734126
0.59,1.32,0.35583897170559464
0.59,1.46,0.3340002942900846
0.73,0.0,0.7266352192083751
0.73,0.15,0.64885692377538
0.73,0.29,0.5814431262319382
0.73,0.44,0.5243783745104216
0.73,0.59,0.47617449319922445
0.73,0.73,0.4351967946938534
0.73,0.88,0.40005812457967727
0.73,1.03,0.3696610283263872
0.73,1.17,0.34315079489599437
0.73,1.32,0.31985970748298104
0.73,1.46,0.2992611343009948
0.88,0.0,0.6900012772113566
0.88,0.15,0.6112401975360772
0.88,0.29,0.5436498288278434
0.88,0.44,0.4870988316381938
0.88,0.59,0.43984710550233513
0.88,0.73,0.40005812457967743
0.88,0.88,0.36621517025117567
0.88,1.03,0.3371435698680031
0.88,1.17,0.31194403902340534
0.88,1.32,0.2899238451166297
0.88,1.46,0.2705429906439
1.03,0.0,0.6573307928595182
1.03,0.15,0.5777953553101927
1.03,0.29,0.5102354398959592
1.03,0.44,0.4543692963215717
1.03,0.59,0.40819007791618495
1.03,0.73,0.36966102832638736
1.03,0.88,0.33714356986800326
1.03,1.03,0.3093942704355888
1.03,1.17,0.2854767241516219
1.03,1.32,0.2646792963187632
1.03,1.46,0.24645351035728133
1.17,0.0,0.6279939755209656
1.17,0.15,0.5478656874402944
1.17,0.29,0.48050192510411815
1.17,0.44,0.4254401227592739
1.17,0.59,0.3803995949734131
1.17,0.73,0.3431507948959942
1.17,0.88,0.3119440390234058
1.17,1.03,0.2854767241516219
1.17,1.17,0.26278283413901593
1.17,1.32,0.24313746892728264
1.17,1.46,0.22598784473083317
1.32,0.0,0.6014828868412688
1.32,0.15,0.5209192460879531
1.32,0.29,0.4538850958017306
1.32,0.44,0.3997103202906298
1.32,0.59,0.35583897170559475
1.32,0.73,0.3198597074829812
1.32,0.88,0.2899238451166297
1.32,1.03,0.26467929631876336
1.32,1.17,0.2431374689272823
1.32,1.32,0.22456514086501905
1.32,1.46,0.20840865091691008
1.46,0.0,0.5773866292288142
1.46,0.15,0.4965242372921714
1.46,0.29,0.4299275801484073
1.46,0.44,0.37669573592015004
1.46,0.59,0.3340002942900847
1.46,0.73,0.2992611343009948
1.46,0.88,0.27054299064389986
1.46,1.03,0.2464535103572815
1.46,1.17,0.22598784473083283
1.46,1.32,0.20840865091690974
1.46,1.46,0.19316412577264747
