Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.9245831399411637, 0.9317468012648051, 0.938579207724594, 0.9450992574899053, 0.951323906090035, 0.9572684483555577, 0.9629467507919759, 0.968371444541434, 0.9735540867072742, 0.9785052960583818, 0.9832348678171372]",0.0
0.25,2,"[0.8133681950409433, 0.8373273089747791, 0.858362360653594, 0.8770425134055857, 0.8937630553366797, 0.9088122318167756, 0.9224083982585477, 0.9347221628744756, 0.945890315124395, 0.9560249701533383, 0.9652197829482565]",0.0
0.25,3,"[0.03907826775199258, 0.6640197595529348, 0.735198913094322, 0.7837699778597162, 0.8212470328305252, 0.8516666325800426, 0.8770166464993355, 0.89845544740297, 0.9167328186179173, 0.9323711739294355, 0.945755173705542]",0.0
0.25,4,"[0.02184697745805065, 0.01158635524682145, 0.0018932769416755207, 0.5930852945537712, 0.7156780863477546, 0.7794100897680274, 0.8243826805142485, 0.858686431687342, 0.8857156272184045, 0.9073016220122461, 0.9245831399411637]",0.019953700516375128
0.25,5,"[0.013510690411648976, 0.002024686981144278, 0.00038152988056951533, 0.00030293826264850857, 0.0002977169935695472, 0.6703280507119492, 0.7594987353821607, 0.813979270004709, 0.8523280950063242, 0.8804927212873452, 0.9013601053087181]",0.013212973418079428
0.25,6,"[0.009173634514440336, 0.0004472967737309777, 0.00019737210672462406, 0.00016029431741734795, 0.00015944253086133727, 0.00018195478625880797, 0.6669198890820812, 0.7616734772314595, 0.8158113496301644, 0.8514933986968821, 0.8756103126785238]",0.009014191983578999
0.25,7,"[0.006726018125078644, 0.00023293136282601286, 0.00012126299820946973, 9.755643079733052e-05, 9.469939734125255e-05, 0.0001071254329588811, 0.00013863079110416687, 0.6955498486347484, 0.7749370821161893, 0.8196392269033558, 0.8466406422554859]",0.006631318727737391
0.25,8,"[0.00522062756267858, 0.00015122399292481404, 8.224653397803122e-05, 6.55044156686794e-05, 6.223791143014786e-05, 6.820982392837932e-05, 8.786371781498461e-05, 0.5885094301853699, 0.7274457073494545, 0.7838747611619861, 0.8133681950409429]",0.005158389651248432
0.25,9,"[0.004225476296760609, 0.00010776585936134274, 5.957575062037666e-05, 4.7073344725337436e-05, 4.402538390036117e-05, 4.703126370054002e-05, 5.8364514335275324e-05, 8.840154993326041e-05, 0.6681353548779134, 0.7423248171122213, 0.7739177507821902]",0.004181450912860248
0.25,10,"[0.0035287940628405874, 8.119238141889413e-05, 4.522071471723113e-05, 3.551562993271615e-05, 3.283354334043422e-05, 3.441591237125705e-05, 4.138470858330991e-05, 6.0619124349054115e-05, 0.5755938669313945, 0.6909666096780187, 0.7244439510375787]",0.003495960519500153
0.5,1,"[0.9576207857187747, 0.9603317259764629, 0.9629258176123252, 0.9654054627976906, 0.9677729441498433, 0.9700304350661954, 0.9721800090188059, 0.9742236479147277, 0.976163249614571, 0.9780006346906115, 0.9797375524963299]",0.0
