Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8410497094324212, 0.8531263496396412, 0.8656665575582455, 0.8786825056827442, 0.8921835982540702, 0.9061754071534643, 0.9206583618785013, 0.9356261729668026, 0.9510639892676702, 0.9669463269984323, 0.9832348678171372]",0.0
0.25,2,"[0.7266352192083751, 0.7433959939237023, 0.7614439702648278, 0.780898598647676, 0.8018849628136229, 0.8245288096255943, 0.848947384413364, 0.8752335910475794, 0.9034300932264913, 0.9334896308132837, 0.9652197829482565]",0.0
0.25,3,"[0.6422799700328842, 0.6600521609204391, 0.6797586785281019, 0.7016771619211449, 0.7261274894842027, 0.7534724072156764, 0.7841097522782944, 0.8184453277353865, 0.8568243441245257, 0.8993814187011742, 0.945755173705542]",0.0
0.25,4,"[0.577386629228814, 0.5943995702763221, 0.6137580883146221, 0.6358967745323331, 0.6613449036926448, 0.6907448864060659, 0.7248658805982631, 0.7645944155370042, 0.8108510582666739, 0.8643013263578782, 0.9245831399411637]",0.0
0.25,5,"[0.5256597829452582, 0.5409718499913806, 0.558832903188487, 0.5798174660450697, 0.6046545009332758, 0.6342712774221696, 0.6698438595610134, 0.7128372368295628, 0.7649646724018039, 0.8278122897480733, 0.9013601053087181]",0.0
0.25,6,"[0.4832720198068467, 0.49632826353082654, 0.5119478251542663, 0.5308214761280466, 0.553861374606001, 0.5822765298781114, 0.6176703022389292, 0.6621519581226327, 0.7183939844081503, 0.7892787284494616, 0.8756103126785238]",0.0
0.25,7,"[0.44777730202567134, 0.45821710990853065, 0.4710440247675788, 0.48702809472070546, 0.5072380901531043, 0.5331616963467933, 0.5668653632628051, 0.6111931744073805, 0.6699537976756345, 0.7476980211765528, 0.8466406422554859]",0.0
0.25,8,"[0.41753694532693364, 0.42510218457878496, 0.43466603200374065, 0.447007977843787, 0.4632898989768154, 0.48525537340148334, 0.5155056380578922, 0.5578331069984082, 0.6175314961565269, 0.7012937366348074, 0.8133681950409433]",0.0
0.25,9,"[0.39140820340812943, 0.3958951190642397, 0.40173577909977676, 0.40957415485011384, 0.4204780948078152, 0.436279175731301, 0.4601635912235602, 0.4974835304972093, 0.5562380416065785, 0.6462551879169219, 0.7739177507821902]",0.0
0.25,10,"[0.3685670324235002, 0.36979865693725084, 0.3714093029248418, 0.3735903473463444, 0.37669010238102973, 0.38144379654979366, 0.38983857149943973, 0.40924266357117406, 0.46340954591917516, 0.570168432296349, 0.7244439510375784]",0.0
0.5,1,"[0.8986066163145496, 0.9060171179813946, 0.9135928408060625, 0.9213325386906519, 0.9292339304917774, 0.9372935415873089, 0.9455065332217607, 0.9538665219886976, 0.9623653932306424, 0.9709931138981786, 0.9797375524963299]",0.0
0.5,2,"[0.8150631392559398, 0.8265905621702233, 0.83870179495715, 0.8514185989617153, 0.8647584508020786, 0.8787323597582752, 0.8933420187996274, 0.908576180805688, 0.9244062085691058, 0.9407808806143102, 0.9576207857187747]",0.0
0.5,3,"[0.7466750375277631, 0.7599110470323263, 0.7741806338305703, 0.7895689742771441, 0.8061604079049016, 0.8240328808324926, 0.843248970835825, 0.8638419071795953, 0.8857946885911996, 0.9090107206340253, 0.9332764924880096]",0.0
0.5,4,"[0.690001277211357, 0.7033865079775224, 0.7181637254214042, 0.7345049954717012, 0.7525967804341839, 0.7726336577138685, 0.7948046915592392, 0.8192666686026551, 0.8460948136956029, 0.8751980820606011, 0.9061892012849132]",0.0
0.5,5,"[0.6422799700328842, 0.6547979084590387, 0.6689303302023235, 0.6849399763184841, 0.7031298038511063, 0.7238413125562019, 0.7474431013163068, 0.7742980927219553, 0.8046858186938591, 0.8386355965685088, 0.8756103126785238]",0.0
0.5,6,"[0.6014828868412692, 0.6124421823631341, 0.62508383718402, 0.6397479426142427, 0.6568480548239347, 0.6768807918139262, 0.7004272961721093, 0.7281307380718656, 0.7606095319108757, 0.7982066417667075, 0.8403750951189858]",0.0
0.5,7,"[0.5661370048139003, 0.5750420701840534, 0.5855265007966675, 0.5979741163719586, 0.6128771341367257, 0.6308652798250065, 0.6527365216062988, 0.6794759732189477, 0.7122129075712519, 0.7519393612305167, 0.7984785067697704]",0.0
0.5,8,"[0.5351603612552945, 0.5416356433547718, 0.5493932689879403, 0.5587944537534391, 0.5703284109756497, 0.5846674768449704, 0.6027526243559633, 0.625925674920575, 0.6560925080217429, 0.6956453628331262, 0.7458489490524478]",0.0
0.5,9,"[0.5077440697784786, 0.5114884740138133, 0.5159889431885487, 0.5214577362027523, 0.5281823778437492, 0.5365701966322841, 0.5472643407829375, 0.5615040841516795, 0.5822121468637942, 0.6160692821026432, 0.6709184509564956]",0.0
0.5,10,"[0.4832720198068467, 0.48403024889697344, 0.4847364074900838, 0.4852105368595222, 0.48502507261468664, 0.4831096952991672, 0.47634016787588357, 0.4471504656338248, 0.011198322690697905, 0.016227505610917594, 0.03907826775016029]",-0.0019385170526755036
1.0,1,"[0.930385599223267, 0.9344334385115408, 0.9385277806238894, 0.9426662215429771, 0.946846003478629, 0.9510639892676702, 0.9553166369496495, 0.9595999750206075, 0.9639095789741998, 0.9682405498544022, 0.972587495663033]",0.0
1.0,2,"[0.8688570289922724, 0.8753934192964711, 0.8821253320524007, 0.8890478636763673, 0.8961532092957215, 0.9034300932264913, 0.9108631363115468, 0.9184321715539041, 0.9261115310122516, 0.9338693430733376, 0.9416669003157514]",0.0
1.0,3,"[0.8150631392559398, 0.8226638959648451, 0.8306415043598363, 0.8389984889039276, 0.8477305762972183, 0.8568243441245257, 0.8662543010937699, 0.8759793400338055, 0.885938568847986, 0.8960466681816067, 0.9061892012849132]",0.0
1.0,4,"[0.768009806595264, 0.7755394838630049, 0.7835775490994942, 0.7921403163190579, 0.8012342296905949, 0.8108510582666739, 0.8209614838615188, 0.8315065939097366, 0.8423866541435726, 0.8534465501397707, 0.8644580232500639]",0.0
1.0,5,"[0.7266352192083751, 0.7332188612540403, 0.7403315564782367, 0.7479931742270557, 0.7562094207752956, 0.7649646724018039, 0.7742129446161706, 0.7838665688939807, 0.7937809403934473, 0.8037306238357413, 0.8133681950409433]",0.0
1.0,6,"[0.690001277211357, 0.6949601284296674, 0.7003109711412497, 0.7060388567056186, 0.7120971707636443, 0.7183939844081503, 0.7247782487707933, 0.7310309035786248, 0.7368670743530584, 0.7419458229159246, 0.7458489490524478]",0.0
