Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8410497094324212, 0.8531153675516883, 0.8656447296181565, 0.8786499878840085, 0.8921405685656831, 0.9061220681902175, 0.9205949441824947, 0.9355529391370241, 0.9509812392927769, 0.9668544053198489, 0.9831341728828438]",0.0
0.25,2,"[0.7266352192083751, 0.7433727132916416, 0.7613977019554113, 0.7808297505776244, 0.8017940807133036, 0.8244166072021125, 0.8488147841638918, 0.8750817807993858, 0.9032606064407287, 0.9333044642974008, 0.9650215767190725]",0.0
0.25,3,"[0.6422799700328842, 0.6600158836827126, 0.6796863741544322, 0.7015693663801577, 0.725985099954302, 0.7532967880290053, 0.7839028917608737, 0.8182100813022338, 0.8565648238652671, 0.8991036299134864, 0.9454680703386089]",0.0
0.25,4,"[0.577386629228814, 0.5943500462312431, 0.61365899030889, 0.6357485747513647, 0.6611487621339093, 0.6905028899296964, 0.7245814158862236, 0.7642727993665972, 0.8105006718084078, 0.863935713441761, 0.9242248209012176]",0.0
0.25,5,"[0.5256597829452577, 0.5409091730521837, 0.5587070046499378, 0.5796286388044064, 0.6044041741210127, 0.6339624472398343, 0.6694817806809978, 0.7124306708953737, 0.7645283754171796, 0.8273722079522465, 0.900963819267412]",0.0
0.25,6,"[0.48327201980684653, 0.4962528306291443, 0.5117959350168605, 0.5305934416645968, 0.5535593337962764, 0.5819051039551667, 0.6172376393406338, 0.6616717548780248, 0.7178900142917047, 0.7887955612867293, 0.8752371905712969]",0.0
0.25,7,"[0.4477773020256712, 0.4581296196222452, 0.47086799377587785, 0.48676487402149576, 0.5068922987538953, 0.5327421163973527, 0.5663860051121502, 0.6106755117133766, 0.6694334549780484, 0.7472442479695112, 0.8464049085069241]",0.0
0.25,8,"[0.4175369453269335, 0.4250036671267059, 0.4344692021502229, 0.44671822545207085, 0.4629201206148314, 0.4848277210178332, 0.515051089677368, 0.5573887523414818, 0.6171435747266358, 0.7010497555857436, 0.8134945820481508]",0.0
0.25,9,"[0.39140820340812943, 0.3957869979242348, 0.40152380997253345, 0.409275663862165, 0.42013338382114496, 0.4359630325620964, 0.4599845539786696, 0.4975386946550606, 0.556534474852823, 0.6467684342319601, 0.7748942417224064]",0.0
0.25,10,"[0.3685670324235002, 0.3696828488139326, 0.37119171428922243, 0.3733211931725573, 0.3765103746555854, 0.38173240747573856, 0.3915936747163615, 0.41430283787927397, 0.4698451880169713, 0.5742894941222277, 0.7275441030919423]",0.0
0.5,1,"[0.8986066163145496, 0.9060043232545313, 0.9135673552966678, 0.9212944841119586, 0.9291834484611047, 0.9372307961060791, 0.9454317135619884, 0.9537798460577419, 0.9622671114968053, 0.9708835139705055, 0.9796169644613061]",0.0
0.5,2,"[0.8150631392559398, 0.8265637857181611, 0.83864850302811, 0.8513391665030461, 0.8646533905828273, 0.8786023527687146, 0.8931879531796293, 0.9083992018084978, 0.924207782678928, 0.9405628775860192, 0.9573855828410858]",0.0
0.5,3,"[0.7466750375277624, 0.7598693933805833, 0.7740976299243094, 0.7894452439816757, 0.8059969872792607, 0.823831344085936, 0.8430116053932782, 0.8635719581587995, 0.8854966989181488, 0.9086909980030313, 0.9329437353012351]",0.0
0.5,4,"[0.6900012772113566, 0.7033293557065322, 0.7180495762100181, 0.7343346706952115, 0.7523720040311128, 0.7723573975942202, 0.7944816650239094, 0.8189041011319407, 0.8457035751580707, 0.8747943475303217, 0.9057967597892748]",0.0
0.5,5,"[0.6422799700328842, 0.6547248653671714, 0.6687840649077227, 0.6847215284951025, 0.7028419499512325, 0.7234893336769266, 0.7470359632712916, 0.773850307707131, 0.8042203946976046, 0.8381885697455305, 0.8752371905712969]",0.0
0.5,6,"[0.6014828868412688, 0.6123530565657885, 0.6249049766905581, 0.6394808807305595, 0.6564975564239437, 0.6764564921163454, 0.6999462469377817, 0.7276214807956105, 0.7601186711254283, 0.797809096795833, 0.8401885828456646]",0.0
0.5,7,"[0.5661370048139002, 0.5749368594701846, 0.5853151588705955, 0.5976595405838911, 0.6124684284577616, 0.6303814566120256, 0.6522122518371092, 0.6789704749813609, 0.7118233044110056, 0.751819346923341, 0.7988617212580834]",0.0
0.5,8,"[0.5351603612552944, 0.5415145403116614, 0.5491503565404702, 0.5584361599367658, 0.5698740881286698, 0.5841592579599566, 0.6022715969061859, 0.6256159230574739, 0.6561884412509366, 0.6964824341482522, 0.7478432665878739]",0.0
0.5,9,"[0.5077440697784785, 0.511351886117443, 0.5157165333314935, 0.5210644705713571, 0.5277134642706295, 0.536135145520013, 0.5471091973769627, 0.5621503987706958, 0.5846084147106596, 0.621230531653203, 0.6787510767804039]",0.0
0.5,10,"[0.48327201980684653, 0.48387883498998563, 0.4844383762906471, 0.48480092467516067, 0.4846210960145128, 0.48308037637277246, 0.47806411929649456, 0.46222803131210366, 0.045460746205544, 0.06717462253418696, 0.547327893422227]",0.4378112736013025
1.0,1,"[0.930385599223267, 0.9344166550968453, 0.9384943021399338, 0.9426161630290684, 0.9467795099356214, 0.9509812392927769, 0.9552178467688995, 0.9594854029491501, 0.9637795303334458, 0.9680953823727348, 0.9724276253832475]",0.0
