Slope,MidPoint,GrowthList,LinerType
0.25,1,"[0.8907057092062168, 0.8975186162420954, 0.9043113470343954, 0.9110606088867361, 0.917744991984376, 0.9243452007088603, 0.9308441959298057, 0.937227254296971, 0.9434819545469364, 0.9495981032715514, 0.9555676135804929]",0.0
0.25,2,"[0.7685331319789407, 0.7818274100436154, 0.7960200196933077, 0.8108869447511404, 0.8261773080508327, 0.8416344876389168, 0.8570169985163881, 0.8721150378627014, 0.8867603174064281, 0.9008289907508923, 0.914239122415161]",0.0
0.25,3,"[0.653892355013301, 0.6672822300540429, 0.6840659734392086, 0.7041175507610445, 0.7270010477415392, 0.7519649628380894, 0.7780406049935106, 0.8042236024887378, 0.8296562746487413, 0.8537325377853219, 0.8761081448569901]",0.0
0.25,4,"[0.560773779057699, 0.5679767247193815, 0.5807006505739412, 0.5996935056937855, 0.6253525985742561, 0.6573186938175579, 0.6941037602279637, 0.7332103239335045, 0.7719280902425851, 0.8082216765475622, 0.8410497094324212]",0.0
0.25,5,"[0.4891162301113955, 0.4878179830766152, 0.49302945490267647, 0.5062003139466402, 0.5289096347520186, 0.5624968419175681, 0.6069092078900639, 0.6591090508476645, 0.7133220146970782, 0.7641358514112346, 0.808835238414807]",0.0012982470347802644
0.25,6,"[0.43380789254319824, 0.42407103642085614, 0.4214157726906866, 0.4274095612425415, 0.44406161300089514, 0.47410914946385935, 0.5204253297178135, 0.5828400363903723, 0.6536591399080938, 0.7212783146482291, 0.7792007217603464]",0.012392119852511652
0.25,7,"[0.39019437013584296, 0.37284950422910657, 0.36332284294933875, 0.36289390030128665, 0.37324766181785934, 0.3973514503672726, 0.44014447217479175, 0.5067950458737486, 0.5929879286866572, 0.6794412902327882, 0.751882709523714]",0.027300469834556307
0.25,8,"[0.3549793450524975, 0.33099291364537653, 0.31593289231636035, 0.3105230798529063, 0.3157134997226396, 0.33391136279785666, 0.3704622066122931, 0.43476443659948716, 0.5318213058708413, 0.6384242119407907, 0.7266352192083751]",0.04445626519959123
0.25,9,"[0.32593317617351797, 0.2962190719275331, 0.27691778057326827, 0.26795683206101806, 0.26937018652356143, 0.2827332633070148, 0.3128026493483771, 0.3704989487270016, 0.47139003074704044, 0.5980499723481988, 0.7032362519244385]",0.05797634411249991
0.25,10,"[0.30153572004302875, 0.2669108246122104, 0.24449000496148737, 0.23315891414796425, 0.23197691761901557, 0.24169527885468126, 0.2661845180576592, 0.31595450651469287, 0.41365450082026006, 0.5581836239379693, 0.6814890159451846]",0.06955880242401319
