ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P45059,Peptidoglycan synthase FtsI,ftsI,1574687,L42023,P45059,FTSI_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,,NOS2A,NOS2A,HGNC:7873,Human,DB08814
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,,CACNA1I,CACNA1I,HGNC:1396,Human,DB00568; DB00617; DB00909; DB04841
P30542,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,,ADORA1,ADORA1,HGNC:262,Human,DB00201; DB00277; DB00640; DB00651; DB00806; DB01223; DB01303; DB01412
P00519,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,,ABL1,ABL1,HGNC:76,Human,DB01254; DB04868; DB06616; DB08896; DB08901
P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,,FCER1A,FCER1A,HGNC:3609,Human,DB00043; DB00895
P00451,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,,F8,F8,HGNC:3546,Human,DB00055; DB00100
P23219,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,,PTGS1,PTGS1,HGNC:9604,Human,DB00154; DB00159; DB00244; DB00316; DB00586; DB00788; DB00795; DB00812; DB00870; DB00936; DB00939; DB00945; DB00991; DB01014; DB01050; DB01283; DB01397; DB01398; DB01399; DB01600; DB06725; DB08814
P0A7V8,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,,,,,Escherichia coli (strain K12),DB00254; DB00453; DB00595; DB00618; DB01017
P21728,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,,DRD1,DRD1,HGNC:3020,Human,DB00353; DB00477; DB00508; DB00623; DB00679; DB00800; DB00850; DB00875; DB00988; DB01063; DB01235; DB01239; DB01608; DB01614; DB01621; DB01623; DB01624
P35916,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,,FLT4,FLT4,HGNC:3767,Human,DB00398; DB06589; DB06626; DB08896; DB09078; DB09079
P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,,SCNN1B,SCNN1B,HGNC:10600,Human,DB00384; DB00594
Q9H4B7,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,Human,DB00309; DB01229; DB01248; DB01394; DB06772
P17948,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,,FLT1,FLT1,HGNC:3763,Human,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079
Q9UPY5,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,,SLC7A11,SLC7A11,HGNC:11059,Human,DB00740; DB06151
P06213,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,,INSR,INSR,HGNC:6091,Human,DB00030; DB00046; DB00047; DB00071; DB01306; DB01307; DB01309; DB08914
P0A560,Probable arabinosyltransferase A,embA,2073559,U68480,P0A560,EMBA_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,,RAF1,RAF1,HGNC:9829,Human,DB00398; DB08896; DB08912
P12259,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,,F5,F5,HGNC:3542,Human,DB00055
O00764,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,,PDXK,PDXK,HGNC:8819,Human,DB00147; DB00165
P24530,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,,EDNRB,EDNRB,HGNC:3180,Human,DB00559; DB08932
P20309,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,,CHRM3,CHRM3,HGNC:1952,Human,DB00185; DB00332; DB00383; DB00387; DB00496; DB00517; DB00572; DB00725; DB00729; DB00785; DB01036; DB01062; DB01085; DB01142; DB01231; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB08897; DB09076
Q9H2X9,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,,SLC12A5,SLC12A5,HGNC:13818,Human,DB00887
P00734,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,,F2,F2,HGNC:3535,Human,DB00001; DB00006; DB00278; DB04898; DB06695
P30273,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,,FCER1G,FCER1G,HGNC:3611,Human,DB00895
P13716,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,,ALAD,ALAD,HGNC:395,Human,DB00855
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,,HSD3B1,HSD3B1,HGNC:5217,Human,DB01108
