ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
P45059,Peptidoglycan synthase FtsI,ftsI,1574687,L42023,P45059,FTSI_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
P19113,Histidine decarboxylase,HDC,32109,X54297,P19113,DCHS_HUMAN,,HDC,HDC,HGNC:4855,Human,DB00117
P35228,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,,NOS2A,NOS2A,HGNC:7873,Human,DB00125; DB00155; DB01110; DB01234; DB08814
P06737,"Glycogen phosphorylase, liver form",PYGL,183353,M14636,P06737,PYGL_HUMAN,,PYGL,PYGL,HGNC:9725,Human,DB00131
P48728,"Aminomethyltransferase, mitochondrial",AMT,391721,D13811,P48728,GCST_HUMAN,,AMT,AMT,HGNC:473,Human,DB00116
Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,,CACNA1I,CACNA1I,HGNC:1396,Human,DB00568; DB00617; DB00661; DB00909; DB04841
P30542,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,,ADORA1,ADORA1,HGNC:262,Human,DB00201; DB00277; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB01412; DB04932
P00519,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,,ABL1,ABL1,HGNC:76,Human,DB00171; DB00619; DB01254; DB04868; DB06616; DB08896; DB08901
P12319,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,,FCER1A,FCER1A,HGNC:3609,Human,DB00043; DB00895
P00451,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,,F8,F8,HGNC:3546,Human,DB00055; DB00100
P23219,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,,PTGS1,PTGS1,HGNC:9604,Human,DB00154; DB00159; DB00244; DB00316; DB00328; DB00350; DB00461; DB00465; DB00469; DB00500; DB00554; DB00573; DB00586; DB00605; DB00711; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01398; DB01399; DB01401; DB01419; DB01435; DB01600; DB04552; DB06725; DB06802; DB08814
P35626,Beta-adrenergic receptor kinase 2,ADRBK2,312395,X69117,P35626,ARBK2_HUMAN,,ADRBK2,ADRBK2,HGNC:290,Human,DB00171
P0A7V8,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,,,,,Escherichia coli (strain K12),DB00254; DB00256; DB00453; DB00595; DB00618; DB01017
P21728,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,,DRD1,DRD1,HGNC:3020,Human,DB00246; DB00248; DB00268; DB00334; DB00353; DB00363; DB00397; DB00408; DB00413; DB00420; DB00477; DB00502; DB00508; DB00543; DB00589; DB00623; DB00679; DB00714; DB00734; DB00777; DB00800; DB00805; DB00850; DB00875; DB00988; DB01049; DB01063; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01403; DB01608; DB01614; DB01621; DB01622; DB01623; DB01624; DB04946; DB05271; DB06216
P12461,Thymidylate synthase,TMP1,7537304,J04230,P12461,TYSY_CANAL,,,,,Yeast,DB01099
Q9BZW2,Solute carrier family 13 member 1,SLC13A1,12620132,AF260824,Q9BZW2,S13A1_HUMAN,,SLC13A1,SLC13A1,HGNC:10916,Human,DB00139
P35916,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,,FLT4,FLT4,HGNC:3767,Human,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079
P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,,SCNN1B,SCNN1B,HGNC:10600,Human,DB00384; DB00594
P02452,Collagen alpha-1(I) chain,COL1A1,1418928,Z74615,P02452,CO1A1_HUMAN,,COL1A1,COL1A1,HGNC:2197,Human,DB00048
Q9H4B7,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,Human,DB00309; DB01229; DB01248; DB01394; DB06772
O95363,"Phenylalanine--tRNA ligase, mitochondrial",FARS2,3983103,AF097441,O95363,SYFM_HUMAN,,FARS2,FARS2,HGNC:21062,Human,DB00120
P17948,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,,FLT1,FLT1,HGNC:3763,Human,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079
Q9UPY5,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,,SLC7A11,SLC7A11,HGNC:11059,Human,DB00138; DB00740; DB00795; DB06151
Q9BTZ2,Dehydrogenase/reductase SDR family member 4,DHRS4,4105190,AF044127,Q9BTZ2,DHRS4_HUMAN,,DHRS4,DHRS4,HGNC:16985,Human,DB00162
P06213,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,,INSR,INSR,HGNC:6091,Human,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB08914
P0A560,Probable arabinosyltransferase A,embA,2073559,U68480,P0A560,EMBA_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
O60931,Cystinosin,CTNS,3036851,Y15924,O60931,CTNS_HUMAN,,CTNS,CTNS,HGNC:2518,Human,DB00138
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,,RAF1,RAF1,HGNC:9829,Human,DB00398; DB08896; DB08912
Q9Y285,Phenylalanine--tRNA ligase alpha subunit,FARSA,2102679,U07424,Q9Y285,SYFA_HUMAN,,FARSLA,FARSLA,HGNC:3592,Human,DB00120
Q9Y234,"Lipoyltransferase 1, mitochondrial",LIPT1,4586380,AB017566,Q9Y234,LIPT_HUMAN,,LIPT1,LIPT1,HGNC:29569,Human,DB00166
P12259,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,,F5,F5,HGNC:3542,Human,DB00055; DB05777
O00764,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,,PDXK,PDXK,HGNC:8819,Human,DB00147; DB00165
P24530,Endothelin B receptor,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,,EDNRB,EDNRB,HGNC:3180,Human,DB00559; DB06268; DB08932
P20309,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,,CHRM3,CHRM3,HGNC:1952,Human,DB00185; DB00193; DB00202; DB00246; DB00280; DB00321; DB00332; DB00334; DB00340; DB00363; DB00376; DB00383; DB00387; DB00408; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00496; DB00517; DB00540; DB00572; DB00622; DB00715; DB00725; DB00729; DB00747; DB00777; DB00785; DB00809; DB00835; DB00934; DB00986; DB01036; DB01062; DB01069; DB01085; DB01142; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01337; DB01338; DB01403; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB08897; DB09076
P30613,Pyruvate kinase PKLR,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,,PKLR,PKLR,HGNC:9020,Human,DB00119
Q9H2X9,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,,SLC12A5,SLC12A5,HGNC:13818,Human,DB00761; DB00887
P00734,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,,F2,F2,HGNC:3535,Human,DB00001; DB00006; DB00055; DB00100; DB00170; DB00278; DB01123; DB04786; DB04898; DB05777; DB06695
P30273,High affinity immunoglobulin epsilon receptor subunit gamma,FCER1G,182488,M33195,P30273,FCERG_HUMAN,,FCER1G,FCER1G,HGNC:3611,Human,DB00895
P13716,Delta-aminolevulinic acid dehydratase,ALAD,178329,M13928,P13716,HEM2_HUMAN,,ALAD,ALAD,HGNC:395,Human,DB00855
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,,HSD3B1,HSD3B1,HGNC:5217,Human,DB01108
O43246,Cationic amino acid transporter 4,SLC7A4,4378940,AJ000730,O43246,CTR4_HUMAN,,SLC7A4,SLC7A4,HGNC:11062,Human,DB00123; DB00125; DB00129
P64143,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,folK,2113971,BX842583,P64143,HPPK_MYCTU,,,,,Mycobacterium tuberculosis,DB00233
P48167,Glycine receptor subunit beta,GLRB,992687,U33267,P48167,GLRB_HUMAN,,GLRB,GLRB,HGNC:4329,Human,DB00145; DB00431
P61889,Malate dehydrogenase,mdh,41989,Y00129,P61889,MDH_ECOLI,,,,,Escherichia coli (strain K12),DB00336
P06818,Neuraminidase,NA,324460,K01150,P06818,NRAM_I79A0,,,,,Influenza A virus (strain A/Bangkok/1/1979 H3N2),DB00558; DB06614
P14780,Matrix metalloproteinase-9,"",177205,J05070,P14780,MMP9_HUMAN,,MMP9,MMP9,HGNC:7176,Human,DB00786; DB01017; DB01197; DB01296
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,,HSD3B2,HSD3B2,HGNC:5218,Human,DB01108
P13674,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,190786,M24486,P13674,P4HA1_HUMAN,,P4HA1,P4HA1,HGNC:8546,Human,DB00126; DB00139; DB00172; DB01275
P21554,Cannabinoid receptor 1,CNR1,29915,X54937,P21554,CNR1_HUMAN,,CNR1,CNR1,HGNC:2159,Human,DB00470; DB00486; DB06155
P30556,Type-1 angiotensin II receptor,AGTR1,179122,M91464,P30556,AGTR1_HUMAN,,AGTR1,AGTR1,HGNC:336,Human,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB08822
P49591,"Serine--tRNA ligase, cytoplasmic",SARS,1050527,X91257,P49591,SYSC_HUMAN,,SARS,SARS,HGNC:10537,Human,DB00133
P34995,Prostaglandin E2 receptor EP1 subtype,PTGER1,410209,L22647,P34995,PE2R1_HUMAN,,PTGER1,PTGER1,HGNC:9593,Human,DB00297; DB00429; DB00770; DB00905; DB00917; DB01088
P11836,B-lymphocyte antigen CD20,MS4A1,29774,X12530,P11836,CD20_HUMAN,,MS4A1,MS4A1,HGNC:7315,Human,DB00073; DB00078; DB00081; DB08935
P29475,"Nitric oxide synthase, brain",NOS1,642526,U17327,P29475,NOS1_HUMAN,,NOS1,NOS1,HGNC:7872,Human,DB00155; DB03147
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918,D90228,P24752,THIL_HUMAN,,ACAT1,ACAT1,HGNC:93,Human,DB00795
Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,307341,L02932,Q07869,PPARA_HUMAN,,PPARA,PPARA,HGNC:9232,Human,DB00328; DB00636; DB01039; DB01241; DB01393
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,10934059,AB050049,Q9HCC0,MCCB_HUMAN,,MCCC2,MCCC2,HGNC:6937,Human,DB00121
P51843,Nuclear receptor subfamily 0 group B member 1,NR0B1,786532,U31929,P51843,NR0B1_HUMAN,,NR0B1,NR0B1,HGNC:7960,Human,DB00755; DB01234
P10912,Growth hormone receptor,GHR,31738,X06562,P10912,GHR_HUMAN,,GHR,GHR,HGNC:4263,Human,DB00052; DB00082
Q9UDX3,SEC14-like protein 4,SEC14L4,27803380,AY158085,Q9UDX3,S14L4_HUMAN,,SEC14L4,SEC14L4,HGNC:20627,Human,DB00163
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,,HPRT1,HPRT1,HGNC:5157,Human,DB00993; DB01033
P28702,Retinoic acid receptor RXR-beta,RXRB,30448,X63522,P28702,RXRB_HUMAN,,RXRB,RXRB,HGNC:10478,Human,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799
Q9Y600,Cysteine sulfinic acid decarboxylase,CSAD,4894558,AF116546,Q9Y600,CSAD_HUMAN,,CSAD,CSAD,HGNC:18966,Human,DB00151
P12277,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,,CKB,CKB,HGNC:1991,Human,DB00148
P31358,CAMPATH-1 antigen,CD52,29646,X62466,P31358,CD52_HUMAN,,CD52,CD52,HGNC:1804,Human,DB00087
Q13639,5-hydroxytryptamine receptor 4,HTR4,2661757,Y12505,Q13639,5HT4R_HUMAN,,HTR4,HTR4,HGNC:5299,Human,DB00604; DB00904; DB01233; DB06480; DB08810
P02792,Ferritin light chain,FTL,182514,M11147,P02792,FRIL_HUMAN,,FTL,FTL,HGNC:3999,Human,DB00893
P42357,Histidine ammonia-lyase,HAL,451210,D16626,P42357,HUTH_HUMAN,,HAL,HAL,HGNC:4806,Human,DB00117
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,190074,L06419,Q02809,PLOD1_HUMAN,,PLOD1,PLOD1,HGNC:9081,Human,DB00126; DB00139
P14618,Pyruvate kinase PKM,PKM2,189998,M23725,P14618,KPYM_HUMAN,,PKM2,PKM2,HGNC:9021,Human,DB00119
